X	Y	Z	FIELD_VALUE
0.0231100000	0.2500000000	0.2500000000	0.0021823894
0.0150324700	0.2500238000	0.2500202900	0.0021502877
0.0150322197	0.2536642215	0.2536600881	0.0021480696
0.0149827767	0.2573044806	0.2572997085	0.0021414340
0.0149189956	0.2609446351	0.2609392104	0.0021305639
0.0148322474	0.2645845647	0.2645784623	0.0021155681
0.0147207172	0.2682241722	0.2682173613	0.0020967271
0.0145831050	0.2718633522	0.2718557949	0.0020743499
0.0144166880	0.2755019537	0.2754936036	0.0020488323
0.0142199844	0.2791398264	0.2791306295	0.0020205705
0.0139911178	0.2827767893	0.2827666835	0.0019900756
0.0137622512	0.2864137521	0.2864027374	0.0019578392
0.0134696022	0.2900484935	0.2900364379	0.0019243976
0.0131355554	0.2936814967	0.2936683062	0.0018903452
0.0127575372	0.2973123969	0.2972979664	0.0018562754
0.0123307347	0.3009406537	0.3009248605	0.0018228207
0.0118486302	0.3045655177	0.3045482157	0.0017906461
0.0113020966	0.3081858965	0.3081669069	0.0017604548
0.0106773526	0.3118000563	0.3117791515	0.0017329988
0.0099512709	0.3154048859	0.3153817583	0.0017090920
0.0091831105	0.3190054164	0.3189799353	0.0016896194
0.0081385191	0.3225714012	0.3225427078	0.0016755837
0.0067640511	0.3260814375	0.3260485958	0.0016680348
0.0056233662	0.3277790159	0.3277433527	0.0016670233
0.0075977866	0.3326256119	0.3252533072	0.0016726452
0.0094307659	0.3370468081	0.3233575281	0.0016860983
0.0112667857	0.3414712626	0.3214723225	0.0017062583
0.0130702053	0.3459306166	0.3196385812	0.0017320883
0.0148195805	0.3504243733	0.3178367476	0.0017626617
0.0165003561	0.3549540762	0.3160597971	0.0017972081
0.0181003018	0.3595218109	0.3143057331	0.0018350565
0.0196081826	0.3641296752	0.3125752275	0.0018756313
0.0210132607	0.3687794690	0.3108705456	0.0019184397
0.0223047768	0.3734726457	0.3091951812	0.0019630432
0.0234673482	0.3782117670	0.3075550824	0.0020091162
0.0243847704	0.3830293939	0.3059899706	0.0020563624
0.0253021925	0.3878470209	0.3044248589	0.0021045362
0.0260825980	0.3927032568	0.3029054156	0.0021534012
0.0267249391	0.3975950066	0.3014360794	0.0022027514
0.0272316349	0.4025186273	0.3000211638	0.0022524360
0.0276091402	0.4074703061	0.2986650173	0.0023023176
0.0278682359	0.4124466157	0.2973727402	0.0023522707
0.0280314942	0.4174436443	0.2961464374	0.0024022104
0.0281246426	0.4224593782	0.2949912298	0.0024520687
0.0281820337	0.4274931201	0.2939147001	0.0025018262
0.0282485123	0.4325451940	0.2929283445	0.0025515210
0.0283807623	0.4376159236	0.2920502910	0.0026012338
0.0286469596	0.4427030507	0.2913079670	0.0026512053
0.0291226327	0.4477972970	0.2907394980	0.0027018602
0.0298798162	0.4528772164	0.2903904147	0.0027538599
0.0309694672	0.4579077084	0.2903033586	0.0028080985
0.0324054985	0.4628471937	0.2905035239	0.0028654871
0.0341631502	0.4676612078	0.2909900385	0.0029268874
0.0363586784	0.4722235249	0.2919204605	0.0029928712
0.0385542067	0.4767858421	0.2928508826	0.0030636115
0.0409188339	0.4812192323	0.2939708630	0.0031386171
0.0434090090	0.4855406291	0.2952457456	0.0032172505
0.0459905939	0.4897685070	0.2966461865	0.0032986101
0.0486377052	0.4939201339	0.2981487055	0.0033816485
0.0513308602	0.4980105173	0.2997350369	0.0034652495
0.0540553225	0.5020522303	0.3013911252	0.0035481863
0.0567997673	0.5060556768	0.3031061198	0.0036292628
0.0595553716	0.5100293710	0.3048716698	0.0037072889
0.0623151333	0.5139802676	0.3066813378	0.0037811565
0.0650733927	0.5179140560	0.3085301432	0.0038498043
0.0678254904	0.5218353992	0.3104142328	0.0039122716
0.0705675176	0.5257481209	0.3123306521	0.0039677447
0.0732961692	0.5296553607	0.3142771115	0.0040155267
0.0760086017	0.5335597507	0.3162517549	0.0040550495
0.0787009185	0.5374627089	0.3182565278	0.0040859344
0.0813718770	0.5413681779	0.3202848424	0.0041079505
0.0840310580	0.5452755838	0.3223248676	0.0041210652
0.0866415354	0.5491877447	0.3244179925	0.0041253832
0.0892520129	0.5530999056	0.3265111174	0.0041212150
0.0918064773	0.5570201325	0.3286575797	0.0041089480
0.0943440290	0.5609447235	0.3308160940	0.0040891722
0.0968340271	0.5648803041	0.3330096943	0.0040626094
0.0992931086	0.5688216421	0.3352276980	0.0040300861
0.1017159588	0.5727700238	0.3374728809	0.0039925276
0.1041388089	0.5767184055	0.3397180639	0.0039509514
