X	Y	Z	FIELD_VALUE
0.0231100000	0.2500000000	0.2500000000	0.0021753860
0.0150104700	0.2500000000	0.2500000000	0.0021431039
0.0150104745	0.2463666567	0.2463531406	0.0021408672
0.0149611742	0.2427336322	0.2427062968	0.0021341751
0.0148973093	0.2391009107	0.2390593771	0.0021232100
0.0148105064	0.2354687224	0.2354124001	0.0021080798
0.0146988595	0.2318372754	0.2317653610	0.0020890641
0.0145610718	0.2282067962	0.2281182521	0.0020664711
0.0143944453	0.2245775729	0.2244710968	0.0020406957
0.0141974805	0.2209499514	0.2208238604	0.0020121332
0.0139683337	0.2173242730	0.2171765716	0.0019812940
0.0137391870	0.2136985946	0.2135292828	0.0019486686
0.0134462740	0.2100774351	0.2098820684	0.0019147925
0.0131120364	0.2064597727	0.2062349365	0.0018802593
0.0127339630	0.2028462898	0.2025879419	0.0018456613
0.0123073346	0.1992379878	0.1989411745	0.0018116301
0.0118257830	0.1956362365	0.1952947704	0.0017788296
0.0112804362	0.1920429971	0.1916489516	0.0017479620
0.0106579902	0.1884612948	0.1880041283	0.0017197781
0.0099363395	0.1848963256	0.1843611924	0.0016950904
0.0091713989	0.1813393113	0.1807193134	0.0016747828
0.0081349575	0.1778392457	0.1770894239	0.0016598575
0.0068226535	0.1744094282	0.1734817962	0.0016513685
0.0054334112	0.1724052669	0.1712754654	0.0016498027
0.0068310190	0.1742456744	0.1676447228	0.0016528307
0.0086259244	0.1761973746	0.1632322464	0.0016636823
0.0104269280	0.1780716491	0.1587887964	0.0016812538
0.0121943813	0.1798977744	0.1543119512	0.0017044751
0.0139062437	0.1816924861	0.1498009309	0.0017323842
0.0155463080	0.1834620118	0.1452534332	0.0017641751
0.0170079468	0.1851849120	0.1406278527	0.0017991430
0.0184695855	0.1869078121	0.1360022723	0.0018366867
0.0198250381	0.1886039441	0.1313346549	0.0018762616
0.0210626631	0.1902701602	0.1266237340	0.0019173948
0.0221712252	0.1919024489	0.1218690005	0.0019596922
0.0231401438	0.1934962787	0.1170709102	0.0020028091
0.0239594370	0.1950468208	0.1122309365	0.0020464236
0.0246203070	0.1965490650	0.1073516660	0.0020902678
0.0251153182	0.1979980754	0.1024367804	0.0021340714
0.0254383745	0.1993890011	0.0974909005	0.0021776126
0.0255834998	0.2007167739	0.0925193087	0.0022206758
0.0253883598	0.2019144552	0.0875164848	0.0022630666
0.0251932198	0.2031121366	0.0825136609	0.0023046181
0.0248186140	0.2042373149	0.0775042286	0.0023450769
0.0242653539	0.2052872361	0.0724950035	0.0023843014
0.0235337126	0.2062588174	0.0674928542	0.0024221087
0.0226344373	0.2071537468	0.0625037488	0.0024583168
0.0215735711	0.2079718619	0.0575332339	0.0024927511
0.0203584361	0.2087135587	0.0525861034	0.0025252593
0.0189977074	0.2093798677	0.0476662236	0.0025556724
0.0175013819	0.2099722816	0.0427763542	0.0025838525
0.0158809167	0.2104926173	0.0379179480	0.0026096209
0.0141499860	0.2109422919	0.0330906880	0.0026328209
0.0123265654	0.2113338747	0.0282925043	0.0026533270
0.0103909762	0.2116402203	0.0235322087	0.0026709638
0.0084071193	0.2119049454	0.0187893193	0.0026856143
0.0063476052	0.2120933511	0.0140751202	0.0026971471
0.0042580337	0.2122389480	0.0093726464	0.0027054716
0.0021403645	0.2123510224	0.0046818380	0.0027104924
0.0000000000	0.2123510224	0.0000000000	0.0027121705
-0.0021403645	0.2123510224	-0.0046818380	0.0027104924
-0.0042580337	0.2122389480	-0.0093726464	0.0027054716
-0.0063476052	0.2120933511	-0.0140751202	0.0026971471
-0.0084071193	0.2119049454	-0.0187893193	0.0026856143
-0.0103909762	0.2116402203	-0.0235322087	0.0026709638
-0.0123265654	0.2113338747	-0.0282925043	0.0026533270
-0.0141499860	0.2109422919	-0.0330906880	0.0026328209
-0.0158809167	0.2104926173	-0.0379179480	0.0026096209
-0.0175013819	0.2099722816	-0.0427763542	0.0025838525
-0.0189977074	0.2093798677	-0.0476662236	0.0025556724
-0.0203584361	0.2087135587	-0.0525861034	0.0025252593
-0.0215735711	0.2079718619	-0.0575332339	0.0024927511
-0.0226344373	0.2071537468	-0.0625037488	0.0024583168
-0.0235337126	0.2062588174	-0.0674928542	0.0024221087
-0.0242653539	0.2052872361	-0.0724950035	0.0023843014
-0.0248186140	0.2042373149	-0.0775042286	0.0023450769
-0.0251932198	0.2031121366	-0.0825136609	0.0023046181
-0.0253883598	0.2019144552	-0.0875164848	0.0022630666
-0.0255834998	0.2007167739	-0.0925193087	0.0022206758
-0.0254383745	0.1993890011	-0.0974909005	0.0021776126
-0.0251153182	0.1979980754	-0.1024367804	0.0021340714
-0.0246203070	0.1965490650	-0.1073516660	0.0020902678
-0.0239594370	0.1950468208	-0.1122309365	0.0020464236
-0.0231401438	0.1934962787	-0.1170709102	0.0020028091
-0.0221712252	0.1919024489	-0.1218690005	0.0019596922
