X	Y	Z	FIELD_VALUE
0.0231100000	0.2500000000	0.2500000000	0.0021711756
0.0174242519	0.2465054418	0.2534945582	0.0021517407
0.0152622482	0.2498089631	0.2501910369	0.0021403134
0.0151756900	0.2500000000	0.2500000000	0.0021402810
0.0151756880	0.2536401076	0.2536401076	0.0021380723
0.0151270348	0.2572800527	0.2572800527	0.0021314645
0.0150641829	0.2609198890	0.2609198890	0.0021206396
0.0149786118	0.2645594938	0.2645594938	0.0021057058
0.0148685104	0.2681987688	0.2681987688	0.0020869428
0.0147325807	0.2718376072	0.2718376072	0.0020646586
0.0145681047	0.2754758564	0.2754758564	0.0020392483
0.0143735894	0.2791133646	0.2791133646	0.0020111074
0.0141471464	0.2827499489	0.2827499489	0.0019807459
0.0139207035	0.2863865332	0.2863865332	0.0019486546
0.0136308872	0.2900208677	0.2900208677	0.0019153688
0.0132998719	0.2936534423	0.2936534423	0.0018814821
0.0129250467	0.2972838881	0.2972838881	0.0018475866
0.0125015649	0.3009116581	0.3009116581	0.0018143139
0.0120228662	0.3045359935	0.3045359935	0.0017823275
0.0114797652	0.3081557869	0.3081557869	0.0017523293
0.0108583888	0.3117692796	0.3117692796	0.0017250698
0.0101354294	0.3153733119	0.3153733119	0.0017013611
0.0093706835	0.3189730293	0.3189730293	0.0016820865
0.0083290397	0.3225378396	0.3225378396	0.0016682467
0.0058549195	0.3276646097	0.3276646097	0.0016599687
0.0002151562	0.3298211398	0.3298211398	0.0016655873
-0.0044684302	0.3313318988	0.3313318988	0.0016775850
-0.0092335147	0.3327093488	0.3327093488	0.0016953664
-0.0140469294	0.3340000476	0.3340000476	0.0017181697
-0.0188603440	0.3352907464	0.3352907464	0.0017452679
-0.0236905739	0.3365496440	0.3365496440	0.0017759624
-0.0285324001	0.3377860675	0.3377860675	0.0018096603
-0.0333824784	0.3390062126	0.3390062126	0.0018457589
-0.0382385829	0.3402143137	0.3402143137	0.0018837288
-0.0430993150	0.3414130738	0.3414130738	0.0019230955
-0.0479640224	0.3426037435	0.3426037435	0.0019634438
-0.0528329645	0.3437857270	0.3437857270	0.0020044215
-0.0577078930	0.3449553081	0.3449553081	0.0020457443
-0.0625946320	0.3460999803	0.3460999803	0.0020872008
-0.0675343444	0.3471246776	0.3471246776	0.0021286597
-0.0724740568	0.3481493749	0.3481493749	0.0021700976
-0.0774550842	0.3490686499	0.3490686499	0.0022116065
-0.0824913172	0.3498226805	0.3498226805	0.0022534528
-0.0875889442	0.3503301084	0.3503301084	0.0022961268
-0.0927313921	0.3504974362	0.3504974362	0.0023404516
-0.0978671238	0.3502474095	0.3502474095	0.0023876523
-0.1029214634	0.3495566061	0.3495566061	0.0024390023
-0.1078328867	0.3484660353	0.3484660353	0.0024954753
-0.1125764519	0.3470519355	0.3470519355	0.0025575450
-0.1171567085	0.3453903073	0.3453903073	0.0026250606
-0.1215895836	0.3435395797	0.3435395797	0.0026975500
-0.1258107477	0.3414560081	0.3414560081	0.0027742552
-0.1300319118	0.3393724366	0.3393724366	0.0028543320
-0.1341534855	0.3371914508	0.3371914508	0.0029367407
-0.1381878890	0.3349304382	0.3349304382	0.0030205449
-0.1421448773	0.3326020256	0.3326020256	0.0031047348
-0.1460320526	0.3302155391	0.3302155391	0.0031883667
-0.1498555827	0.3277781855	0.3277781855	0.0032704877
-0.1536205448	0.3252956638	0.3252956638	0.0033501436
-0.1573312766	0.3227726461	0.3227726461	0.0034264617
-0.1609915107	0.3202130120	0.3202130120	0.0034985403
-0.1646039934	0.3176196805	0.3176196805	0.0035655560
-0.1681389080	0.3149734430	0.3149734430	0.0036266952
-0.1716738226	0.3123272054	0.3123272054	0.0036812236
-0.1751704225	0.3096556370	0.3096556370	0.0037284540
-0.1786317333	0.3069611895	0.3069611895	0.0037678312
-0.1820609208	0.3042462824	0.3042462824	0.0037988832
-0.1854620439	0.3015137809	0.3015137809	0.0038212549
-0.1888439027	0.2987693503	0.2987693503	0.0038347430
-0.1921766592	0.2959950485	0.2959950485	0.0038392256
-0.1955094156	0.2932207466	0.2932207466	0.0038348028
-0.1988025211	0.2904228703	0.2904228703	0.0038216969
-0.2020870197	0.2876199400	0.2876199400	0.0038002942
-0.2053607691	0.2848107291	0.2848107291	0.0037711887
-0.2086257362	0.2819964124	0.2819964124	0.0037350753
-0.2118850250	0.2791788066	0.2791788066	0.0036928703
-0.2151424002	0.2763600947	0.2763600947	0.0036456328
-0.2183997754	0.2735413827	0.2735413827	0.0035945778
-0.2216620092	0.2707254816	0.2707254816	0.0035411023
-0.2249368186	0.2679168885	0.2679168885	0.0034866609
-0.2282324526	0.2651205012	0.2651205012	0.0034329403
-0.2315604566	0.2623433483	0.2623433483	0.0033817555
-0.2349384201	0.2595965201	0.2595965201	0.0033350658
-0.2383968010	0.2569001921	0.2569001921	0.0032949531
-0.2419353650	0.2542563945	0.2542563945	0.0032637078
-0.2457882078	0.2518422311	0.2518422311	0.0032437092
-0.2500000000	0.2500000000	0.2500000000	0.0032371045
-0.2542117922	0.2481577689	0.2518422311	0.0032437092
-0.2580646350	0.2457436055	0.2542563945	0.0032637078
-0.2616031990	0.2430998079	0.2569001921	0.0032949531
-0.2650615799	0.2404034799	0.2595965201	0.0033350658
-0.2684395434	0.2376566517	0.2623433483	0.0033817555
-0.2717675474	0.2348794988	0.2651205012	0.0034329403
-0.2750631814	0.2320831115	0.2679168885	0.0034866609
-0.2783379908	0.2292745184	0.2707254816	0.0035411023
-0.2816002246	0.2264586173	0.2735413827	0.0035945778
-0.2848575998	0.2236399053	0.2763600947	0.0036456328
-0.2881149750	0.2208211934	0.2791788066	0.0036928703
-0.2913742638	0.2180035876	0.2819964124	0.0037350753
-0.2946392309	0.2151892709	0.2848107291	0.0037711887
-0.2979129803	0.2123800600	0.2876199400	0.0038002942
-0.3011974789	0.2095771297	0.2904228703	0.0038216969
-0.3044905844	0.2067792534	0.2932207466	0.0038348028
-0.3078233408	0.2040049515	0.2959950485	0.0038392256
-0.3111560973	0.2012306497	0.2987693503	0.0038347430
-0.3145379561	0.1984862191	0.3015137809	0.0038212549
-0.3179390792	0.1957537176	0.3042462824	0.0037988832
-0.3213682667	0.1930388105	0.3069611895	0.0037678312
-0.3248295775	0.1903443630	0.3096556370	0.0037284540
-0.3283261774	0.1876727946	0.3123272054	0.0036812236
-0.3318610920	0.1850265570	0.3149734430	0.0036266952
-0.3353960066	0.1823803195	0.3176196805	0.0035655560
-0.3390084893	0.1797869880	0.3202130120	0.0034985403
-0.3426687234	0.1772273539	0.3227726461	0.0034264617
-0.3463794552	0.1747043362	0.3252956638	0.0033501436
-0.3501444173	0.1722218145	0.3277781855	0.0032704877
-0.3539679474	0.1697844609	0.3302155391	0.0031883667
-0.3578551227	0.1673979744	0.3326020256	0.0031047348
-0.3618121110	0.1650695618	0.3349304382	0.0030205449
-0.3658465145	0.1628085492	0.3371914508	0.0029367407
-0.3699680882	0.1606275634	0.3393724366	0.0028543320
-0.3741892523	0.1585439919	0.3414560081	0.0027742552
-0.3784104164	0.1564604203	0.3435395797	0.0026975500
-0.3828432915	0.1546096927	0.3453903073	0.0026250606
-0.3874235481	0.1529480645	0.3470519355	0.0025575450
-0.3921671133	0.1515339647	0.3484660353	0.0024954753
-0.3970785366	0.1504433939	0.3495566061	0.0024390023
-0.4021328762	0.1497525905	0.3502474095	0.0023876523
-0.4072686079	0.1495025638	0.3504974362	0.0023404516
-0.4124110558	0.1496698916	0.3503301084	0.0022961268
-0.4175086828	0.1501773195	0.3498226805	0.0022534528
-0.4225449158	0.1509313501	0.3490686499	0.0022116065
-0.4275259432	0.1518506251	0.3481493749	0.0021700976
-0.4324656556	0.1528753224	0.3471246776	0.0021286597
-0.4374053680	0.1539000197	0.3460999803	0.0020872008
-0.4422921070	0.1550446919	0.3449553081	0.0020457443
-0.4471670355	0.1562142730	0.3437857270	0.0020044215
-0.4520359776	0.1573962565	0.3426037435	0.0019634438
-0.4569006850	0.1585869262	0.3414130738	0.0019230955
-0.4617614171	0.1597856863	0.3402143137	0.0018837288
-0.4666175216	0.1609937874	0.3390062126	0.0018457589
-0.4714675999	0.1622139325	0.3377860675	0.0018096603
-0.4763094261	0.1634503560	0.3365496440	0.0017759624
-0.4811396560	0.1647092536	0.3352907464	0.0017452679
-0.4859530706	0.1659999524	0.3340000476	0.0017181697
-0.4907664853	0.1672906512	0.3327093488	0.0016953664
-0.4955315698	0.1686681012	0.3313318988	0.0016775850
-0.5002151562	0.1701788602	0.3298211398	0.0016655873
-0.5058549195	0.1723353903	0.3276646097	0.0016599687
-0.5083290397	0.1774621604	0.3225378396	0.0016682467
-0.5093706835	0.1810269707	0.3189730293	0.0016820865
-0.5101354294	0.1846266881	0.3153733119	0.0017013611
-0.5108583888	0.1882307204	0.3117692796	0.0017250698
