X	Y	Z	FIELD_VALUE
0.0231100000	0.2500000000	0.2500000000	0.0021428867
0.0143566238	0.2486345117	0.2478411528	0.0021040136
0.0142834743	0.2450162818	0.2441800288	0.0020972285
0.0141930472	0.2413997562	0.2405176071	0.0020860061
0.0140755201	0.2377859416	0.2368532792	0.0020704772
0.0139287071	0.2341753917	0.2331867900	0.0020508658
0.0137507052	0.2305686473	0.2295179377	0.0020274645
0.0135380802	0.2269664729	0.2258464397	0.0020005810
0.0132886576	0.2233695760	0.2221720842	0.0019706598
0.0129997697	0.2197787808	0.2184946529	0.0019381187
0.0127108817	0.2161879855	0.2148172217	0.0019034664
0.0123430566	0.2126105659	0.2111338074	0.0018671986
0.0119232032	0.2090429964	0.2074464047	0.0018299185
0.0114476564	0.2054868451	0.2037547370	0.0017921699
0.0109099347	0.2019444793	0.2000583513	0.0017545721
0.0103014876	0.1984191003	0.1963566946	0.0017177621
0.0096108299	0.1949151717	0.1926491019	0.0016824079
0.0088216836	0.1914392583	0.1889347996	0.0016492144
0.0079092605	0.1880017430	0.1852130071	0.0016189304
0.0068321092	0.1846207632	0.1814834644	0.0015923466
0.0057168505	0.1812536839	0.1777525473	0.0015703470
0.0041323918	0.1780783816	0.1740232427	0.0015538075
0.0021316797	0.1751037987	0.1703286825	0.0015435394
-0.0016334180	0.1727665815	0.1667544697	0.0015398037
-0.0060596460	0.1715368712	0.1650029479	0.0015421865
-0.0107740908	0.1703260355	0.1633270436	0.0015492712
-0.0155451575	0.1691988709	0.1617563147	0.0015602578
-0.0203321372	0.1681002594	0.1602140290	0.0015744151
-0.0251362130	0.1670396150	0.1586985564	0.0015909867
-0.0299506984	0.1660109310	0.1571941274	0.0016093264
-0.0347710171	0.1650106166	0.1556892466	0.0016287981
-0.0395937264	0.1640366568	0.1541747682	0.0016488256
-0.0444159421	0.1630881663	0.1526426557	0.0016688866
-0.0492349091	0.1621654599	0.1510847926	0.0016885161
-0.0540387218	0.1612946218	0.1494520673	0.0017073114
-0.0588425345	0.1604237838	0.1478193419	0.0017249349
-0.0636350107	0.1595821809	0.1461386744	0.0017411154
-0.0684124498	0.1587722762	0.1444006016	0.0017556528
-0.0731703940	0.1579974889	0.1425943792	0.0017684089
-0.0779034019	0.1572611625	0.1407083179	0.0017793641
-0.0826158415	0.1565535832	0.1387607524	0.0017884872
-0.0872692695	0.1559171199	0.1366533155	0.0017958621
-0.0918777527	0.1553259042	0.1344367610	0.0018016072
-0.0964212985	0.1547909749	0.1320765049	0.0018059078
-0.1008690994	0.1543415390	0.1295238901	0.0018089466
-0.1051943576	0.1539750913	0.1267564681	0.0018109904
-0.1093859253	0.1536874306	0.1237817783	0.0018122587
-0.1134854840	0.1534574302	0.1206767042	0.0018129644
-0.1171220451	0.1534590619	0.1170330537	0.0018131700
-0.1207586061	0.1534606935	0.1133894033	0.0018129640
-0.1238566925	0.1536936351	0.1092847272	0.0018122554
-0.1268377555	0.1539795784	0.1050975722	0.0018109797
-0.1295804663	0.1543541304	0.1007572939	0.0018089229
-0.1321027197	0.1548137598	0.0962932435	0.0018058643
-0.1344668523	0.1553485406	0.0917516959	0.0018015364
-0.1367153505	0.1559283821	0.0871572638	0.0017957585
-0.1387771905	0.1565851522	0.0824862643	0.0017883466
