X	Y	Z	FIELD_VALUE
0.3333333300	0.6666666700	0.7582080000	0.0039783667
0.3333332150	0.6666667800	0.7574596000	0.0039780533
0.3221516126	0.6778483824	0.7567595959	0.0039882117
0.3119905956	0.6880093994	0.7556226569	0.0040157306
0.3020106658	0.6979893292	0.7541178316	0.0040606794
0.2920731032	0.7079268918	0.7525400627	0.0041226848
0.2822096012	0.7177903938	0.7508429709	0.0042011372
0.2723964423	0.7276035527	0.7490698165	0.0042951824
0.2626168850	0.7373831100	0.7472478663	0.0044038717
0.2528589359	0.7471410591	0.7453953015	0.0045260382
0.2431140128	0.7568859822	0.7435245555	0.0046603626
0.2333757033	0.7666242917	0.7416446551	0.0048054139
0.2236370907	0.7763629043	0.7397651732	0.0049596167
0.2138984781	0.7861015169	0.7378856913	0.0051212251
0.2041569657	0.7958430293	0.7360102178	0.0052884004
0.1944106054	0.8055893896	0.7341414680	0.0054591997
0.1846580128	0.8153419822	0.7322814024	0.0056316823
0.1748982174	0.8251017776	0.7304314310	0.0058038397
0.1651305818	0.8348694132	0.7285925186	0.0059737263
0.1553546531	0.8446453419	0.7267653868	0.0061394957
0.1455701043	0.8544298907	0.7249505917	0.0062994624
0.1357766029	0.8642233921	0.7231487102	0.0064521481
0.1259736529	0.8740263421	0.7213605719	0.0065964164
0.1161549657	0.8838450293	0.7195955913	0.0067314186
0.1063362785	0.8936637165	0.7178306107	0.0068566970
0.0965107611	0.9034892339	0.7160757875	0.0069722777
0.0866829444	0.9133170506	0.7143243986	0.0070785944
0.0768653070	0.9231346880	0.7125578625	0.0071765875
0.0670914621	0.9329085329	0.7107277625	0.0072677203
0.0573895271	0.9426104679	0.7087983971	0.0073540562
0.0480068642	0.9519931308	0.7064862402	0.0074387186
0.0393125974	0.9606873976	0.7035431153	0.0075271856
0.0319162239	0.9680837711	0.6997712693	0.0076283622
0.0261711470	0.9738288480	0.6952981017	0.0077524723
0.0218380515	0.9781619435	0.6904194670	0.0079061203
0.0184505928	0.9815494022	0.6853453666	0.0080914042
0.0162162144	0.9837837806	0.6801038176	0.0083080887
0.0139818360	0.9860181590	0.6748622686	0.0085547200
0.0121426487	0.9878573463	0.6695799584	0.0088290372
0.0105948711	0.9894051239	0.6642728122	0.0091289499
0.0092671109	0.9907328841	0.6589498070	0.0094522946
0.0081068895	0.9918931055	0.6536163788	0.0097969588
0.0070729355	0.9929270595	0.6482760341	0.0101608299
0.0061304908	0.9938695042	0.6429311793	0.0105418663
0.0052481004	0.9947518946	0.6375835933	0.0109381967
0.0043950615	0.9956049335	0.6322347385	0.0113480451
0.0035381133	0.9964618817	0.6268860501	0.0117699758
0.0025339189	0.9974660761	0.6215441925	0.0122028834
0.0015297246	0.9984702704	0.6162023348	0.0126460020
0.0003995886	0.9996004064	0.6108671856	0.0130990805
-0.0009142573	1.0009142523	0.6055432604	0.0135624195
-0.0024807510	1.0024807460	0.6002375777	0.0140370057
-0.0043804007	1.0043803957	0.5949609723	0.0145246664
-0.0067030376	1.0067030326	0.5897296565	0.0150282851
-0.0095411129	1.0095411079	0.5845665315	0.0155520383
-0.0129773746	1.0129773696	0.5795011828	0.0161015709
-0.0170687175	1.0170687125	0.5745672425	0.0166839645
-0.0218377915	1.0218377865	0.5697982121	0.0173072301
-0.0277065568	1.0277065518	0.5653680370	0.0179798761
-0.0335753222	1.0335753172	0.5609378619	0.0187097315
-0.0399375157	1.0399375107	0.5566930640	0.0194992365
-0.0467072049	1.0467071999	0.5526196864	0.0203495774
-0.0538030628	1.0538030578	0.5486970196	0.0212584540
-0.0611549808	1.0611549758	0.5449020851	0.0222198704
-0.0687058378	1.0687058328	0.5412127047	0.0232242708
-0.0764105123	1.0764105073	0.5376090608	0.0242588825
-0.0842339134	1.0842339084	0.5340742347	0.0253077888
-0.0921489637	1.0921489587	0.5305942000	0.0263525957
-0.1001353651	1.1001353601	0.5271578771	0.0273727898
-0.1082068236	1.1082068186	0.5237749247	0.0283464490
-0.1162782821	1.1162782771	0.5203919722	0.0292508115
-0.1243837639	1.1243837589	0.5170307660	0.0300634053
-0.1325145705	1.1325145655	0.5136858981	0.0307627719
-0.1406636540	1.1406636490	0.5103529030	0.0313295290
-0.1488251649	1.1488251599	0.5070280205	0.0317472037
-0.1569936108	1.1569936058	0.5037076790	0.0320032872
-0.1651649962	1.1651649912	0.5003892654	0.0320896356
-0.1733363816	1.1733363766	0.4970708519	0.0320030720
-0.1814957110	1.1814957060	0.4937445429	0.0317455633
-0.1896450446	1.1896450396	0.4904117108	0.0313240521
-0.1977775898	1.1977775848	0.4870679693	0.0307501480
-0.2058869915	1.2058869865	0.4837092836	0.0300393725
-0.2139658111	1.2139658061	0.4803310164	0.0292105107
-0.2220049433	1.2220049383	0.4769276150	0.0282846701
-0.2300440756	1.2300440706	0.4735242137	0.0272841530
-0.2379865810	1.2379865760	0.4700608871	0.0262317350
-0.2458506923	1.2458506872	0.4665502148	0.0251495294
-0.2536158185	1.2536158135	0.4629813133	0.0240583650
-0.2612546563	1.2612546513	0.4593405135	0.0229771358
-0.2687322110	1.2687322060	0.4556115633	0.0219221084
-0.2760040297	1.2760040247	0.4517757254	0.0209066567
-0.2830145687	1.2830145637	0.4478123913	0.0199407182
-0.2896965763	1.2896965713	0.4437006166	0.0190307739
-0.2959728880	1.2959728830	0.4394218861	0.0181795804
-0.3017624053	1.3017624003	0.4349640124	0.0173863314
-0.3075519226	1.3075519176	0.4305061387	0.0166492891
-0.3122625417	1.3122625367	0.4257216526	0.0159608740
-0.3163065019	1.3163064969	0.4207773142	0.0153128638
-0.3196978638	1.3196978588	0.4157039086	0.0146972197
-0.3224812205	1.3224812155	0.4105328522	0.0141067365
-0.3247263447	1.3247263397	0.4052925269	0.0135354468
-0.3265142996	1.3265142946	0.4000055318	0.0129788708
-0.3279258063	1.3279258013	0.3946882715	0.0124338242
