N	X	Y	Z	FIELD_VALUE
1	0.6532422449	0.3269441023	0.3998969783	0.0129392921
1	0.6560071748	0.3283055285	0.3945776890	0.0123972853
1	0.6581764914	0.3293698021	0.3892400285	0.0118643488
1	0.6598745457	0.3301995625	0.3838910067	0.0113394521
1	0.6612034196	0.3308461463	0.3785350304	0.0108222519
1	0.6625322935	0.3314927300	0.3731790541	0.0103131292
1	0.6633158845	0.3318696505	0.3678159183	0.0098127701
1	0.6639263175	0.3321616692	0.3624512832	0.0093223932
1	0.6644065321	0.3323901611	0.3570857661	0.0088435402
1	0.6647867443	0.3325701253	0.3517197145	0.0083779799
1	0.6650897850	0.3327128571	0.3463533355	0.0079276172
1	0.6653330250	0.3328269214	0.3409867536	0.0074944163
1	0.6655297132	0.3329188287	0.3356200444	0.0070802967
1	0.6656899872	0.3329935443	0.3302532544	0.0066870680
1	0.6658216355	0.3330548727	0.3248864125	0.0063164082
1	0.6659306810	0.3331057378	0.3195195368	0.0059697933
1	0.6660397265	0.3331566029	0.3141526610	0.0056485233
1	0.6661147306	0.3331919853	0.3087857464	0.0053535620
1	0.6661782540	0.3332223570	0.3034188218	0.0050857784
1	0.6662328339	0.3332489726	0.2980518906	0.0048458161
1	0.6662803452	0.3332727975	0.2926849550	0.0046341718
1	0.6663223385	0.3332946778	0.2873180163	0.0044512869
1	0.6663601666	0.3333154324	0.2819510756	0.0042974361
1	0.6663951318	0.3333359914	0.2765841337	0.0041729164
1	0.6664287788	0.3333577306	0.2712171912	0.0040781417
1	0.6664640317	0.3333838890	0.2658502499	0.0040135335
1	0.6665002890	0.3334116490	0.2604833092	0.0039798461
1	0.6665427745	0.3334572205	0.2574607805	0.0039747629
1	0.6666666600	0.3333333300	0.2582080000	0.0039750762
2	0.3333333300	0.6666666700	0.7582080000	0.0039783667
2	0.3333332150	0.6666667800	0.7574596000	0.0039780533
2	0.3221516126	0.6778483824	0.7567595959	0.0039882117
2	0.3119905956	0.6880093994	0.7556226569	0.0040157306
2	0.3020106658	0.6979893292	0.7541178316	0.0040606794
2	0.2920731032	0.7079268918	0.7525400627	0.0041226848
2	0.2822096012	0.7177903938	0.7508429709	0.0042011372
2	0.2723964423	0.7276035527	0.7490698165	0.0042951824
2	0.2626168850	0.7373831100	0.7472478663	0.0044038717
2	0.2528589359	0.7471410591	0.7453953015	0.0045260382
2	0.2431140128	0.7568859822	0.7435245555	0.0046603626
2	0.2333757033	0.7666242917	0.7416446551	0.0048054139
2	0.2236370907	0.7763629043	0.7397651732	0.0049596167
2	0.2138984781	0.7861015169	0.7378856913	0.0051212251
2	0.2041569657	0.7958430293	0.7360102178	0.0052884004
2	0.1944106054	0.8055893896	0.7341414680	0.0054591997
2	0.1846580128	0.8153419822	0.7322814024	0.0056316823
2	0.1748982174	0.8251017776	0.7304314310	0.0058038397
2	0.1651305818	0.8348694132	0.7285925186	0.0059737263
2	0.1553546531	0.8446453419	0.7267653868	0.0061394957
2	0.1455701043	0.8544298907	0.7249505917	0.0062994624
2	0.1357766029	0.8642233921	0.7231487102	0.0064521481
2	0.1259736529	0.8740263421	0.7213605719	0.0065964164
2	0.1161549657	0.8838450293	0.7195955913	0.0067314186
2	0.1063362785	0.8936637165	0.7178306107	0.0068566970
2	0.0965107611	0.9034892339	0.7160757875	0.0069722777
2	0.0866829444	0.9133170506	0.7143243986	0.0070785944
2	0.0768653070	0.9231346880	0.7125578625	0.0071765875
2	0.0670914621	0.9329085329	0.7107277625	0.0072677203
2	0.0573895271	0.9426104679	0.7087983971	0.0073540562
2	0.0480068642	0.9519931308	0.7064862402	0.0074387186
2	0.0393125974	0.9606873976	0.7035431153	0.0075271856
2	0.0319162239	0.9680837711	0.6997712693	0.0076283622
2	0.0261711470	0.9738288480	0.6952981017	0.0077524723
2	0.0218380515	0.9781619435	0.6904194670	0.0079061203
2	0.0184505928	0.9815494022	0.6853453666	0.0080914042
2	0.0162162144	0.9837837806	0.6801038176	0.0083080887
2	0.0139818360	0.9860181590	0.6748622686	0.0085547200
2	0.0121426487	0.9878573463	0.6695799584	0.0088290372
2	0.0105948711	0.9894051239	0.6642728122	0.0091289499
2	0.0092671109	0.9907328841	0.6589498070	0.0094522946
2	0.0081068895	0.9918931055	0.6536163788	0.0097969588
2	0.0070729355	0.9929270595	0.6482760341	0.0101608299
2	0.0061304908	0.9938695042	0.6429311793	0.0105418663
2	0.0052481004	0.9947518946	0.6375835933	0.0109381967
2	0.0043950615	0.9956049335	0.6322347385	0.0113480451
2	0.0035381133	0.9964618817	0.6268860501	0.0117699758
2	0.0025339189	0.9974660761	0.6215441925	0.0122028834
2	0.0015297246	0.9984702704	0.6162023348	0.0126460020
2	0.0003995886	0.9996004064	0.6108671856	0.0130990805
2	-0.0009142573	1.0009142523	0.6055432604	0.0135624195
2	-0.0024807510	1.0024807460	0.6002375777	0.0140370057
2	-0.0043804007	1.0043803957	0.5949609723	0.0145246664
2	-0.0067030376	1.0067030326	0.5897296565	0.0150282851
2	-0.0095411129	1.0095411079	0.5845665315	0.0155520383
2	-0.0129773746	1.0129773696	0.5795011828	0.0161015709
2	-0.0170687175	1.0170687125	0.5745672425	0.0166839645
2	-0.0218377915	1.0218377865	0.5697982121	0.0173072301
2	-0.0277065568	1.0277065518	0.5653680370	0.0179798761
2	-0.0335753222	1.0335753172	0.5609378619	0.0187097315
2	-0.0399375157	1.0399375107	0.5566930640	0.0194992365
2	-0.0467072049	1.0467071999	0.5526196864	0.0203495774
2	-0.0538030628	1.0538030578	0.5486970196	0.0212584540
2	-0.0611549808	1.0611549758	0.5449020851	0.0222198704
2	-0.0687058378	1.0687058328	0.5412127047	0.0232242708
2	-0.0764105123	1.0764105073	0.5376090608	0.0242588825
2	-0.0842339134	1.0842339084	0.5340742347	0.0253077888
2	-0.0921489637	1.0921489587	0.5305942000	0.0263525957
2	-0.1001353651	1.1001353601	0.5271578771	0.0273727898
2	-0.1082068236	1.1082068186	0.5237749247	0.0283464490
2	-0.1162782821	1.1162782771	0.5203919722	0.0292508115
2	-0.1243837639	1.1243837589	0.5170307660	0.0300634053
2	-0.1325145705	1.1325145655	0.5136858981	0.0307627719
2	-0.1406636540	1.1406636490	0.5103529030	0.0313295290
2	-0.1488251649	1.1488251599	0.5070280205	0.0317472037
2	-0.1569936108	1.1569936058	0.5037076790	0.0320032872
2	-0.1651649962	1.1651649912	0.5003892654	0.0320896356
2	-0.1733363816	1.1733363766	0.4970708519	0.0320030720
2	-0.1814957110	1.1814957060	0.4937445429	0.0317455633
2	-0.1896450446	1.1896450396	0.4904117108	0.0313240521
2	-0.1977775898	1.1977775848	0.4870679693	0.0307501480
2	-0.2058869915	1.2058869865	0.4837092836	0.0300393725
