X	Y	Z	FIELD_VALUE
0.0805155000	0.8375345000	0.9308565000	0.0059551167
0.0788251130	0.8381691412	0.9264330224	0.0059394006
0.0805986149	0.8348471808	0.9250336878	0.0060262316
0.0824231479	0.8316124898	0.9234909293	0.0061269933
0.0842476809	0.8283777988	0.9219481708	0.0062406272
0.0860968279	0.8251833851	0.9203472009	0.0063659053
0.0879686105	0.8220232737	0.9187014960	0.0065014174
0.0898613865	0.8188927992	0.9170207301	0.0066455358
0.0917737139	0.8157882942	0.9153119242	0.0067965507
0.0937043104	0.8127069072	0.9135801418	0.0069526155
0.0956520631	0.8096465043	0.9118289226	0.0071118524
0.0976159692	0.8066056151	0.9100604656	0.0072723064
0.0995951965	0.8035835574	0.9082755790	0.0074320867
0.1015895983	0.8005815635	0.9064723621	0.0075894247
0.1036100044	0.7976243275	0.9046209151	0.0077426383
0.1056304106	0.7946670914	0.9027694682	0.0078903444
0.1076650114	0.7917400892	0.9008830595	0.0080313397
0.1097149697	0.7888544496	0.8989461800	0.0081648086
0.1117815236	0.7860243944	0.8969406093	0.0082902771
0.1138683329	0.7832756201	0.8948374289	0.0084077469
0.1159814179	0.7806488848	0.8925978056	0.0085177481
0.1181290008	0.7782061476	0.8901751606	0.0086214764
0.1203190574	0.7760338074	0.8875248292	0.0087209282
0.1225534513	0.7742335985	0.8846237005	0.0088189616
0.1248218584	0.7728917114	0.8814909628	0.0089188489
0.1271033520	0.7720384597	0.8781873043	0.0090234326
0.1293765858	0.7716366579	0.8747857924	0.0091342602
0.1316277275	0.7716105464	0.8713429161	0.0092512876
0.1338507164	0.7718807033	0.8678915884	0.0093732379
0.1360442621	0.7723806508	0.8644476508	0.0094980411
0.1382094899	0.7730589394	0.8610174087	0.0096232383
0.1403487901	0.7738758935	0.8576023532	0.0097461622
0.1424655939	0.7747995072	0.8542016211	0.0098641916
0.1445647806	0.7758015262	0.8508131578	0.0099748343
0.1466536785	0.7768535108	0.8474342483	0.0100759923
0.1487437807	0.7779224118	0.8440619192	0.0101660310
0.1508520580	0.7789672444	0.8406936872	0.0102441993
0.1530744271	0.7798283435	0.8373487332	0.0103111161
0.1554022873	0.7805271030	0.8340407956	0.0103695466
0.1581638898	0.7807390958	0.8310363492	0.0104257905
0.1612050883	0.7807054675	0.8283321956	0.0104891026
0.1647300517	0.7804461663	0.8263850720	0.0105691375
0.1684032073	0.7801751919	0.8247645094	0.0106705377
0.1722099411	0.7799713319	0.8235091843	0.0107930521
0.1760629155	0.7798458342	0.8224049881	0.0109333071
0.1799354177	0.7798083550	0.8213700948	0.0110864588
0.1838100394	0.7798597078	0.8203445043	0.0112472096
0.1876666507	0.7800381446	0.8192622246	0.0114103522
0.1915232619	0.7802165815	0.8181799448	0.0115708430
0.1953419030	0.7805232086	0.8169881918	0.0117243039
0.1991276053	0.7809060284	0.8157094317	0.0118670852
0.2028767733	0.7813582813	0.8143415153	0.0119963766
0.2065903377	0.7818686033	0.8128927146	0.0121103703
0.2102401089	0.7824667371	0.8113104972	0.0122082086
0.2138244451	0.7831413229	0.8096041029	0.0122899739
0.2173314748	0.7838957404	0.8077647535	0.0123564617
0.2207498111	0.7847342400	0.8057887049	0.0124090367
0.2240704050	0.7856631501	0.8036800292	0.0124494715
0.2272846551	0.7866961097	0.8014485524	0.0124796601
0.2303877135	0.7878530325	0.7991145687	0.0125015263
