X	Y	Z	FIELD_VALUE
0.1812110000	0.1812110000	0.2500000000	0.0058453851
0.1880587976	0.1879676167	0.2564358330	0.0057615170
0.1892378014	0.1893120982	0.2527096090	0.0057433740
0.1897352088	0.1897284378	0.2498213749	0.0057397043
0.1890069627	0.1889383222	0.2459130154	0.0057466604
0.1874846506	0.1876421923	0.2423051995	0.0057689752
0.1856773084	0.1861682448	0.2389212868	0.0058075913
0.1835488368	0.1844876061	0.2358601864	0.0058631775
0.1813422066	0.1827552941	0.2328918717	0.0059361038
0.1790215796	0.1809444808	0.2300725763	0.0060264337
0.1766210929	0.1790743797	0.2273703499	0.0061340407
0.1741636411	0.1771574094	0.2247609871	0.0062585972
0.1716653832	0.1752018973	0.2222258139	0.0063995112
0.1691380645	0.1732127024	0.2197510966	0.0065559622
0.1665855187	0.1711749894	0.2173484100	0.0067268934
0.1640329729	0.1691372764	0.2149457234	0.0069109982
0.1614738218	0.1670759573	0.2125727162	0.0071067528
0.1589140806	0.1649927864	0.2102212192	0.0073124026
0.1563592894	0.1628889864	0.2078838626	0.0075260321
0.1538147978	0.1607653623	0.2055537847	0.0077455091
0.1512860203	0.1586223726	0.2032243832	0.0079686357
0.1487786381	0.1564602061	0.2008891174	0.0081931710
0.1462987831	0.1542788553	0.1985413401	0.0084168042
0.1438534729	0.1520780747	0.1961739881	0.0086373040
0.1414529835	0.1498567206	0.1937778635	0.0088525654
0.1391589430	0.1475982489	0.1913073361	0.0090606059
0.1368649025	0.1453397771	0.1888368086	0.0092597116
0.1346384000	0.1430616957	0.1863191825	0.0094482868
0.1324898175	0.1407644399	0.1837475354	0.0096249658
0.1304299356	0.1384488360	0.1811156495	0.0097886758
0.1284695288	0.1361161948	0.1784184098	0.0099385104
0.1266189957	0.1337683362	0.1756521031	0.0100737543
0.1248887606	0.1314075698	0.1728141076	0.0101937897
0.1232805222	0.1290369788	0.1699079048	0.0102981650
0.1217963530	0.1266593502	0.1669369854	0.0103864272
0.1204344935	0.1242772362	0.1639069392	0.0104583068
0.1191897996	0.1218915639	0.1608256418	0.0105136218
0.1180546440	0.1195066347	0.1576981312	0.0105524143
0.1169692948	0.1171220859	0.1545511661	0.0105750591
0.1159823098	0.1147299047	0.1513754527	0.0105823426
0.1149953248	0.1123377235	0.1481997394	0.0105756324
0.1139360330	0.1099217476	0.1450692048	0.0105569671
0.1127984888	0.1074959449	0.1419769720	0.0105288990
0.1114254816	0.1050493581	0.1390088061	0.0104941615
0.1099028554	0.1025965742	0.1361266930	0.0104550095
0.1080807870	0.1001479504	0.1334357577	0.0104128264
0.1061685840	0.0977077585	0.1308050938	0.0103679705
0.1042141663	0.0952760389	0.1281997217	0.0103203336
0.1022597486	0.0928443194	0.1255943496	0.0102694676
0.1003486391	0.0904266029	0.1229403909	0.0102147649
0.0984896920	0.0880118980	0.1202435689	0.0101555379
0.0967047664	0.0856015507	0.1174888313	0.0100911044
0.0950080648	0.0831973211	0.1146685274	0.0100208282
0.0934089638	0.0808013815	0.1117794731	0.0099441766
0.0919131258	0.0784164076	0.1088213296	0.0098607098
0.0905231063	0.0760458783	0.1057953062	0.0097702597
0.0892387995	0.0736940408	0.1027034347	0.0096728055
0.0880578040	0.0713658073	0.0995480897	0.0095686649
0.0870166070	0.0690820231	0.0963052264	0.0094583524
0.0860367719	0.0668247233	0.0930217173	0.0093427442
0.0851350622	0.0646084278	0.0896840157	0.0092230580
0.0843015921	0.0624371004	0.0862953455	0.0091008155
0.0835219499	0.0603126443	0.0828608116	0.0089778038
0.0827768992	0.0582337949	0.0793878499	0.0088560491
0.0820318486	0.0561549454	0.0759148881	0.0087377529
0.0813024538	0.0541491456	0.0723920276	0.0086251217
0.0805169667	0.0521634003	0.0688699262	0.0085204026
0.0796387202	0.0501723500	0.0653749721	0.0084255476
0.0785524626	0.0481441506	0.0619678003	0.0083417979
0.0771507364	0.0460442462	0.0587374637	0.0082691877
0.0753298780	0.0438735969	0.0557980298	0.0082057842
0.0729653871	0.0417080181	0.0533093787	0.0081478391
0.0703997283	0.0395960617	0.0509930306	0.0080914395
0.0676542545	0.0375676660	0.0488241381	0.0080341401
0.0647789673	0.0356348833	0.0467449464	0.0079743817
0.0618076869	0.0338322692	0.0446854333	0.0079113206
0.0588364064	0.0320296550	0.0426259201	0.0078444385
0.0558431904	0.0303084677	0.0405256577	0.0077733642
0.0528505032	0.0286229856	0.0383933759	0.0076978039
0.0498622965	0.0269620474	0.0362335344	0.0076174870
0.0468795031	0.0253188531	0.0340509489	0.0075321844
0.0439018869	0.0236887177	0.0318501291	0.0074418081
0.0409287150	0.0220683102	0.0296350300	0.0073463705
0.0379590504	0.0204552137	0.0274090540	0.0072461398
0.0349918970	0.0188476100	0.0251751404	0.0071415846
0.0320262307	0.0172440705	0.0229359170	0.0070334495
0.0290609942	0.0156434128	0.0206938383	0.0069228089
0.0260957577	0.0140427552	0.0184517595	0.0068110341
0.0231291758	0.0124454426	0.0162090229	0.0066998026
0.0201594276	0.0108481947	0.0139707914	0.0065911495
0.0171845493	0.0092496580	0.0117409726	0.0064874447
0.0142017807	0.0076482261	0.0095248984	0.0063913816
0.0112068309	0.0060414931	0.0073309417	0.0063060169
0.0081920610	0.0044252409	0.0051743742	0.0062348193
0.0051587174	0.0027996545	0.0030540117	0.0061817092
0.0020480927	0.0011338154	0.0010953228	0.0061511919
0.0000797963	0.0000794519	0.0000853174	0.0061457415
0.0000000000	0.0000000000	0.0000000000	0.0061457610
