N	X	Y	Z	FIELD_VALUE
2	0.1830387899	0.8108055199	0.7706161321	0.0053138235
2	0.1841588985	0.8113340832	0.7666549039	0.0052965622
2	0.1851992097	0.8113969575	0.7624527795	0.0052905675
2	0.1857395565	0.8116195742	0.7566948562	0.0053013804
2	0.1852562411	0.8123403707	0.7526280029	0.0053233761
2	0.1844658873	0.8132465225	0.7486546967	0.0053583967
2	0.1812110000	0.8187890000	0.7500000000	0.0054035259
3	0.0805155000	0.8375345000	0.9308565000	0.0055413159
3	0.0772552407	0.8391562177	0.9329448075	0.0055104828
3	0.0753824864	0.8419369600	0.9306750514	0.0054668036
3	0.0736270459	0.8451523186	0.9290064860	0.0054411741
3	0.0717391678	0.8498829663	0.9282291660	0.0054301800
3	0.0731501277	0.8461251199	0.9278042521	0.0054366849
3	0.0747061820	0.8425342262	0.9269524726	0.0054559914
3	0.0763354915	0.8390390687	0.9258530139	0.0054878965
3	0.0780485784	0.8356783796	0.9244724955	0.0055319232
3	0.0797616653	0.8323176905	0.9230919771	0.0055872820
3	0.0815075756	0.8290155436	0.9216066801	0.0056529299
3	0.0832802268	0.8257607723	0.9200442266	0.0057276716
3	0.0850751971	0.8225447115	0.9184234856	0.0058100660
3	0.0868889136	0.8193605169	0.9167577081	0.0058985640
3	0.0887182397	0.8162026606	0.9150563991	0.0059913992
3	0.0905602877	0.8130665715	0.9133265136	0.0060867875
3	0.0924123264	0.8099484049	0.9115731886	0.0061828168
3	0.0942716704	0.8068448556	0.9098002069	0.0062775966
3	0.0961354674	0.8037532070	0.9080098099	0.0063692401
3	0.0979981299	0.8006743240	0.9061944171	0.0064559642
3	0.0998607924	0.7975954411	0.9043790243	0.0065361389
3	0.1017197378	0.7945210947	0.9025511881	0.0066083535
3	0.1035715647	0.7914489367	0.9007115478	0.0066714356
3	0.1054123611	0.7883765770	0.8988602883	0.0067245590
3	0.1072384819	0.7853017396	0.8969977472	0.0067672407
3	0.1090450468	0.7822218288	0.8951236353	0.0067993762
3	0.1108326130	0.7791365043	0.8932394377	0.0068212456
3	0.1126020711	0.7760458135	0.8913462511	0.0068335651
3	0.1142744941	0.7729214957	0.8894175508	0.0068373587
3	0.1159469171	0.7697971779	0.8874888505	0.0068340880
3	0.1174707435	0.7666238545	0.8855138802	0.0068254849
3	0.1189274678	0.7634297502	0.8835203906	0.0068135788
3	0.1202121957	0.7601871519	0.8814839543	0.0068006089
3	0.1213210185	0.7569020984	0.8794095050	0.0067888771
3	0.1221266340	0.7535598919	0.8772829180	0.0067805709
3	0.1224475957	0.7500000000	0.8750000000	0.0067773499
3	0.1221266340	0.7464401081	0.8727170820	0.0067805709
3	0.1213210185	0.7430979016	0.8705904950	0.0067888771
3	0.1202121957	0.7398128481	0.8685160457	0.0068006089
3	0.1189274678	0.7365702498	0.8664796094	0.0068135788
3	0.1174707435	0.7333761455	0.8644861198	0.0068254849
3	0.1159469171	0.7302028221	0.8625111495	0.0068340880
3	0.1142744941	0.7270785043	0.8605824492	0.0068373587
3	0.1126020711	0.7239541865	0.8586537489	0.0068335651
3	0.1108326130	0.7208634957	0.8567605623	0.0068212456
3	0.1090450468	0.7177781712	0.8548763647	0.0067993762
3	0.1072384819	0.7146982604	0.8530022528	0.0067672407
3	0.1054123611	0.7116234230	0.8511397117	0.0067245590
3	0.1035715647	0.7085510633	0.8492884522	0.0066714356
3	0.1017197378	0.7054789053	0.8474488119	0.0066083535
3	0.0998607924	0.7024045589	0.8456209757	0.0065361389
3	0.0979981299	0.6993256760	0.8438055829	0.0064559642
3	0.0961354674	0.6962467930	0.8419901901	0.0063692401
3	0.0942716704	0.6931551444	0.8401997931	0.0062775966
3	0.0924123264	0.6900515951	0.8384268114	0.0061828168
3	0.0905602877	0.6869334285	0.8366734864	0.0060867875
3	0.0887182397	0.6837973394	0.8349436009	0.0059913992
3	0.0868889136	0.6806394831	0.8332422919	0.0058985640
3	0.0850751971	0.6774552885	0.8315765144	0.0058100660
3	0.0832802268	0.6742392276	0.8299557734	0.0057276716
3	0.0815075756	0.6709844564	0.8283933199	0.0056529299
3	0.0797616653	0.6676823095	0.8269080229	0.0055872820
3	0.0780485784	0.6643216204	0.8255275045	0.0055319232
3	0.0763354915	0.6609609313	0.8241469861	0.0054878965
3	0.0747061820	0.6574657738	0.8230475274	0.0054559914
3	0.0731501277	0.6538748801	0.8221957479	0.0054366849
3	0.0717391678	0.6501170337	0.8217708340	0.0054301800
3	0.0736270459	0.6548476814	0.8209935140	0.0054411741
3	0.0753824864	0.6580630400	0.8193249486	0.0054668036
3	0.0772552407	0.6608437823	0.8170551925	0.0055104828
3	0.0805155000	0.6624655000	0.8191435000	0.0055413159
4	0.1812110000	0.1812110000	0.2500000000	0.0057838357
4	0.1882581791	0.1876471138	0.2560533250	0.0056988868
4	0.1895770800	0.1890687251	0.2524100302	0.0056751270
4	0.1905436720	0.1897382090	0.2477696396	0.0056659214
4	0.1915263977	0.1891615658	0.2427732015	0.0056762372
4	0.1927798408	0.1884268660	0.2388918503	0.0056999974
4	0.1942733735	0.1875125125	0.2351465869	0.0057378462
4	0.1958471136	0.1865258178	0.2314573451	0.0057897084
4	0.1975129637	0.1854350073	0.2278446472	0.0058554275
4	0.1992338748	0.1842557508	0.2242906268	0.0059346202
4	0.2009863681	0.1829995676	0.2207822806	0.0060268024
4	0.2027553415	0.1816755408	0.2173101942	0.0061313067
4	0.2045309238	0.1802906188	0.2138676934	0.0062473680
4	0.2063026006	0.1788143653	0.2104644463	0.0063740610
4	0.2080742774	0.1773381118	0.2070611992	0.0065103353
4	0.2098408020	0.1758193493	0.2036754004	0.0066549306
4	0.2116005277	0.1742634674	0.2003040900	0.0068064781
4	0.2133526939	0.1726755384	0.1969447512	0.0069633820
4	0.2150971478	0.1710604140	0.1935951468	0.0071239297
4	0.2168341834	0.1694227634	0.1902532421	0.0072863268
4	0.2185643794	0.1677671333	0.1869171095	0.0074486396
4	0.2202885399	0.1660979850	0.1835849009	0.0076088964
4	0.2220076194	0.1644198054	0.1802547681	0.0077651566
4	0.2237226707	0.1627373681	0.1769247128	0.0079155325
4	0.2254343488	0.1610642376	0.1735876882	0.0080582114
4	0.2271460269	0.1593911071	0.1702506637	0.0081915762
4	0.2288572216	0.1577285497	0.1669076368	0.0083142361
4	0.2305693536	0.1560829628	0.1635560240	0.0084250738
4	0.2322839716	0.1544618498	0.1601928597	0.0085233345
4	0.2340028170	0.1528744023	0.1568146337	0.0086085588
4	0.2357279741	0.1513327629	0.1534169201	0.0086806920
4	0.2374614013	0.1498493955	0.1499956902	0.0087400882
