X	Y	Z	FIELD_VALUE
0.0805155000	0.8375345000	0.9308565000	0.0059555950
0.0789465395	0.8379227373	0.9263560293	0.0059456035
0.0772068128	0.8413084098	0.9276299681	0.0058724231
0.0755096607	0.8447707925	0.9287305896	0.0058144449
0.0738598698	0.8483080063	0.9296332054	0.0057719197
0.0723085270	0.8519573166	0.9301643762	0.0057447653
0.0705292737	0.8569978103	0.9301115559	0.0057317923
0.0706661040	0.8589467778	0.9291821169	0.0057340034
0.0718476889	0.8616807007	0.9264028012	0.0057514099
0.0733260233	0.8638418113	0.9232544244	0.0057876963
0.0749496117	0.8656396068	0.9199400768	0.0058431450
0.0766831906	0.8671469875	0.9165303473	0.0059175574
0.0785000213	0.8684425491	0.9130734690	0.0060104623
0.0803890710	0.8695631172	0.9095923039	0.0061212629
0.0823908526	0.8704203693	0.9060983462	0.0062493074
0.0843926342	0.8712776213	0.9026043885	0.0063939471
0.0864478125	0.8720056926	0.8991122704	0.0065542040
0.0885519189	0.8726116882	0.8956264781	0.0067291290
0.0907008645	0.8731002328	0.8921503797	0.0069176334
0.0928907933	0.8734744026	0.8886866660	0.0071185047
0.0951180366	0.8737363086	0.8852376270	0.0073303756
0.0973790660	0.8738875120	0.8818053008	0.0075517590
0.0996704388	0.8739293271	0.8783915363	0.0077810095
0.1019888178	0.8738628997	0.8749980560	0.0080162681
0.1043312865	0.8736876243	0.8716268226	0.0082556815
0.1067079404	0.8733210990	0.8682985333	0.0084971623
0.1090845943	0.8729545737	0.8649702439	0.0087386326
0.1114753952	0.8724901399	0.8616663185	0.0089777607
0.1138770364	0.8719326687	0.8583866440	0.0092122152
0.1162861638	0.8712887400	0.8551302099	0.0094397507
0.1186993205	0.8705672840	0.8518947323	0.0096580760
0.1211127858	0.8697806765	0.8486760364	0.0098649961
0.1235220317	0.8689469727	0.8454667944	0.0100584336
0.1259194581	0.8680967711	0.8422526443	0.0102366005
0.1283025378	0.8672630486	0.8390222620	0.0103980363
0.1306689213	0.8664659925	0.8357685852	0.0105418777
0.1329507746	0.8659033500	0.8323982441	0.0106683577
0.1351247004	0.8656010488	0.8289160121	0.0107796880
0.1371627716	0.8655704958	0.8253319442	0.0108804992
0.1386720231	0.8662074367	0.8215315413	0.0109797613
0.1395657081	0.8672324181	0.8176137602	0.0110889647
0.1398554351	0.8683999641	0.8136406364	0.0112177150
0.1396714645	0.8695307862	0.8096491744	0.0113716492
0.1390650036	0.8704660215	0.8056481821	0.0115528003
0.1383871236	0.8713557333	0.8016483636	0.0117602084
0.1375546028	0.8721035328	0.7976487062	0.0119910583
0.1366278187	0.8727111091	0.7936457627	0.0122414888
0.1356491411	0.8731842489	0.7896365296	0.0125066008
0.1346491652	0.8735296223	0.7856188498	0.0127806924
0.1336506507	0.8737536321	0.7815914485	0.0130573162
0.1326710012	0.8738620667	0.7775538491	0.0133295902
0.1317238308	0.8738600401	0.7735062658	0.0135902582
0.1308200106	0.8737520018	0.7694494945	0.0138321446
0.1299684198	0.8735417682	0.7653848132	0.0140484049
0.1291765372	0.8732324847	0.7613139024	0.0142329109
0.1284507881	0.8728263968	0.7572388437	0.0143805554
0.1277951088	0.8723284206	0.7531619570	0.0144875882
0.1271715130	0.8717896248	0.7490852403	0.0145519619
0.1267174784	0.8710695425	0.7450145872	0.0145731777
0.1262634438	0.8703494602	0.7409439340	0.0145526978
0.1259958467	0.8694571166	0.7368924290	0.0144934485
0.1257726080	0.8685303627	0.7328463984	0.0143999292
