X	Y	Z	FIELD_VALUE
0.0805155000	0.8375345000	0.9308565000	0.0059532162
0.0789427361	0.8379058828	0.9263772943	0.0059435382
0.0772010435	0.8412892862	0.9276548569	0.0058702117
0.0755013119	0.8447490920	0.9287599466	0.0058120945
0.0738483565	0.8482837246	0.9296672437	0.0057694413
0.0722926595	0.8519304885	0.9302035521	0.0057421745
0.0704975057	0.8569880778	0.9301593542	0.0057290813
0.0678444125	0.8581334812	0.9304444187	0.0057343889
0.0639358259	0.8587359378	0.9310555628	0.0057588052
0.0600210132	0.8590120821	0.9318505041	0.0058013606
0.0561107759	0.8592443033	0.9326842052	0.0058600603
0.0522217142	0.8593815034	0.9336394640	0.0059333026
0.0483623206	0.8594540870	0.9347243007	0.0060199120
0.0445396827	0.8594797979	0.9359443376	0.0061190456
0.0407599218	0.8594712452	0.9373019458	0.0062300598
0.0370281275	0.8594385464	0.9387963609	0.0063525248
0.0333495111	0.8593906249	0.9404272713	0.0064861030
0.0297666681	0.8593395589	0.9422751706	0.0066305121
0.0261838251	0.8592884929	0.9441230700	0.0067854971
0.0226533440	0.8592428451	0.9460774923	0.0069504810
0.0191734983	0.8592094220	0.9481284147	0.0071250235
0.0157418652	0.8591948544	0.9502659632	0.0073084892
0.0123556895	0.8592056978	0.9524808584	0.0075001050
0.0090121816	0.8592484961	0.9547646511	0.0076990005
0.0057087450	0.8593297941	0.9571098066	0.0079041638
0.0024431630	0.8594562031	0.9595097255	0.0081145208
-0.0007861767	0.8596346251	0.9619588083	0.0083288108
-0.0039791690	0.8598747101	0.9644534973	0.0085457720
-0.0071090175	0.8602445942	0.9670169024	0.0087640293
-0.0102388660	0.8606144782	0.9695803075	0.0089822665
-0.0133335903	0.8610605460	0.9721766430	0.0091989968
-0.0163921151	0.8615889047	0.9748026217	0.0094127651
-0.0194128023	0.8622053495	0.9774551760	0.0096221782
-0.0223935210	0.8629152825	0.9801313419	0.0098258755
-0.0253317400	0.8637235547	0.9828281739	0.0100225546
-0.0282246349	0.8646343081	0.9855426897	0.0102109957
-0.0310692647	0.8656507983	0.9882717960	0.0103900191
-0.0338625831	0.8667755942	0.9910122937	0.0105585896
-0.0365999490	0.8680138594	0.9937609659	0.0107157012
-0.0392355296	0.8694476161	0.9965144792	0.0108605055
-0.0418711102	0.8708813727	0.9992679924	0.0109922178
-0.0444504371	0.8724168924	1.0020197691	0.0111099978
-0.0469741364	0.8740497830	1.0047666792	0.0112131651
-0.0494435387	0.8757750503	1.0075058489	0.0113011588
-0.0518639330	0.8775820136	1.0102353026	0.0113735289
-0.0542400580	0.8794617682	1.0129535891	0.0114298868
-0.0565791693	0.8814034392	1.0156594472	0.0114700234
-0.0588903160	0.8833891953	1.0183566433	0.0114939806
-0.0611468805	0.8854730610	1.0210234825	0.0115018953
-0.0634034450	0.8875569267	1.0236903216	0.0114941696
-0.0656257724	0.8897117560	1.0263269700	0.0114714977
-0.0678410152	0.8918821832	1.0289561892	0.0114348916
-0.0700464353	0.8940732479	1.0315757700	0.0113858176
-0.0722326556	0.8962895484	1.0341897684	0.0113262181
-0.0743784828	0.8985415670	1.0368069604	0.0112587857
-0.0765031610	0.9008089701	1.0394284615	0.0111870592
-0.0784702495	0.9031795251	1.0420842042	0.0111156329
-0.0801629874	0.9056992088	1.0447955469	0.0110496250
-0.0813659644	0.9084438739	1.0475533168	0.0109931505
-0.0819504347	0.9114283597	1.0502577230	0.0109469803
-0.0820975666	0.9145949108	1.0527964546	0.0109091481
-0.0820981123	0.9178783950	1.0551733533	0.0108775117
-0.0820892090	0.9212808557	1.0573609896	0.0108506686
-0.0821549740	0.9247508389	1.0594291361	0.0108277195
-0.0823276853	0.9282741478	1.0613898949	0.0108081791
-0.0826296763	0.9318345925	1.0632586574	0.0107921144
-0.0830987527	0.9354191016	1.0650378877	0.0107799730
-0.0837311555	0.9390123124	1.0667415544	0.0107725357
-0.0843674557	0.9418370435	1.0680193148	0.0107706298
-0.0846815892	0.9413099281	1.0713724731	0.0107735466
-0.0850386804	0.9402158143	1.0753623031	0.0107833546
-0.0854397439	0.9389122365	1.0792785723	0.0107974454
-0.0859247685	0.9373784859	1.0830926507	0.0108136493
-0.0864929199	0.9356689037	1.0868119051	0.0108303761
-0.0871486737	0.9338050728	1.0904337660	0.0108463896
-0.0878927598	0.9318155676	1.0939633176	0.0108607630
-0.0887465794	0.9297074080	1.0973895911	0.0108728570
-0.0896872620	0.9275003187	1.1007222328	0.0108822455
-0.0907568529	0.9252183661	1.1039564501	0.0108888136
-0.0918792174	0.9228962703	1.1071398205	0.0108925922
-0.0932377814	0.9205035982	1.1101624306	0.0108937730
-0.0945963454	0.9181109261	1.1131850407	0.0108927542
-0.0961842314	0.9156828853	1.1160516219	0.0108899621
-0.0978352562	0.9132539040	1.1188783263	0.0108860251
-0.0995853769	0.9108197348	1.1216345675	0.0108814817
-0.1014219839	0.9083824576	1.1243259559	0.0108769437
-0.1033442561	0.9059420742	1.1269484454	0.0108729376
-0.1053209146	0.9034988941	1.1295237810	0.0108699108
-0.1073268370	0.9010517244	1.1320702706	0.0108681214
-0.1092324513	0.8987092356	1.1345112659	0.0108675956
-0.1111426815	0.8964060177	1.1368806683	0.0108679474
-0.1127784031	0.8939403024	1.1396823870	0.0108683597
-0.1144141248	0.8914745872	1.1424841057	0.0108672077
-0.1155244433	0.8890428168	1.1455819892	0.0108618719
-0.1165499273	0.8866298296	1.1487272166	0.0108492655
-0.1175365296	0.8842278951	1.1518950550	0.0108264520
-0.1184985560	0.8818370632	1.1550801746	0.0107911660
-0.1195003129	0.8794562290	1.1582601221	0.0107418673
