X	Y	Z	FIELD_VALUE
0.0805155000	0.8375345000	0.9308565000	0.0059024059
0.0787536702	0.8377574823	0.9264851129	0.0058933434
0.0769678281	0.8411066139	0.9277941610	0.0058161498
0.0752085016	0.8445223974	0.9289457050	0.0057540088
0.0734797750	0.8480094110	0.9298986112	0.0057072197
0.0718128518	0.8515978152	0.9304960304	0.0056757847
0.0702181279	0.8552532918	0.9307876209	0.0056594527
0.0693457456	0.8575497593	0.9306849679	0.0056567327
0.0645175906	0.8591726293	0.9312955222	0.0056721917
0.0606065655	0.8596782739	0.9319805652	0.0057043891
0.0566971019	0.8600206008	0.9327761354	0.0057521041
0.0528273444	0.8601981823	0.9338063593	0.0058136712
0.0489575869	0.8603757638	0.9348365832	0.0058878381
0.0451200508	0.8604901905	0.9359989352	0.0059735490
0.0413216787	0.8605571999	0.9372970681	0.0060700639
0.0375681954	0.8605882384	0.9387313259	0.0061767826
0.0338638910	0.8605926528	0.9402986152	0.0062932692
0.0302114239	0.8605785713	0.9419928167	0.0064190874
0.0266117818	0.8605534225	0.9438055086	0.0065538180
0.0230644657	0.8605241687	0.9457268905	0.0066968709
0.0195679173	0.8604975539	0.9477468390	0.0068476547
0.0161211347	0.8604810502	0.9498577371	0.0070054299
0.0127518745	0.8605017053	0.9521003949	0.0071692760
0.0093826143	0.8605223605	0.9543430528	0.0073381609
0.0060526347	0.8605691081	0.9566481258	0.0075108653
0.0027589054	0.8606478501	0.9590081558	0.0076860703
-0.0005012879	0.8607643836	0.9614165583	0.0078622862
-0.0037302529	0.8609244067	0.9638675574	0.0080379882
-0.0069298430	0.8611335077	0.9663560882	0.0082114977
-0.0101014580	0.8613971468	0.9688776623	0.0083811775
-0.0132459577	0.8617207576	0.9714283618	0.0085452584
-0.0163636148	0.8621099644	0.9740047600	0.0087020202
-0.0194531965	0.8625735108	0.9766044195	0.0088497758
-0.0224915180	0.8631829236	0.9792367908	0.0089868701
-0.0255298396	0.8637923364	0.9818691621	0.0091118171
-0.0285386415	0.8644848775	0.9845159895	0.0092231379
-0.0315163841	0.8652645472	0.9871746201	0.0093195708
-0.0344613379	0.8661347109	0.9898424042	0.0093999881
-0.0373717744	0.8670976773	0.9925166916	0.0094634864
-0.0402497174	0.8681464110	0.9951941335	0.0095093698
-0.0430992025	0.8692637037	0.9978745123	0.0095371195
-0.0458654285	0.8705829547	1.0005499192	0.0095464169
-0.0486316545	0.8719022056	1.0032253262	0.0095371119
-0.0513097481	0.8734186827	1.0058845587	0.0095092406
-0.0539669810	0.8749790380	1.0085389462	0.0094630235
-0.0565807708	0.8766285082	1.0111816377	0.0093988342
-0.0591559948	0.8783613017	1.0138074892	0.0093172511
-0.0616951754	0.8801700680	1.0164157638	0.0092190248
-0.0642023306	0.8820475103	1.0190049120	0.0091050965
-0.0666824126	0.8839859402	1.0215734903	0.0089765973
-0.0691404981	0.8859789624	1.0241195624	0.0088348469
-0.0715836222	0.8880171912	1.0266423023	0.0086813418
-0.0740187358	0.8900922231	1.0291407546	0.0085177284
-0.0764529703	0.8921960527	1.0316138565	0.0083458093
-0.0788936046	0.8943209458	1.0340604113	0.0081674620
-0.0813480180	0.8964593988	1.0364790079	0.0079845965
-0.0838024313	0.8985978519	1.0388976045	0.0077991620
-0.0862958995	0.9007477505	1.0412611761	0.0076130967
-0.0888248493	0.9028914348	1.0435896800	0.0074282082
-0.0913960169	0.9050213436	1.0458814144	0.0072462445
-0.0940165685	0.9071304718	1.0481329226	0.0070688182
-0.0966935840	0.9092118618	1.0503398874	0.0068973998
-0.0994339753	0.9112585071	1.0524971112	0.0067333117
-0.1022444702	0.9132632818	1.0545983623	0.0065777223
-0.1051316635	0.9152188280	1.0566361107	0.0064316745
-0.1081021171	0.9171173769	1.0586011437	0.0062961215
-0.1111625806	0.9189504393	1.0604818993	0.0061718692
-0.1142230440	0.9207835017	1.0623626549	0.0060597482
-0.1174599529	0.9224749449	1.0640575468	0.0059604167
-0.1208117313	0.9240642683	1.0656114494	0.0058744494
-0.1242852118	0.9255337390	1.0669937314	0.0058023639
-0.1278660090	0.9268829175	1.0682007170	0.0057446303
-0.1315985280	0.9280221523	1.0691058181	0.0057015472
-0.1354734959	0.9288715244	1.0696238667	0.0056730907
-0.1394518073	0.9292672775	1.0696438936	0.0056590901
-0.1414595962	0.9291909501	1.0694432359	0.0056573305
-0.1440928183	0.9284676457	1.0693307110	0.0056605884
-0.1478716245	0.9271785083	1.0695460447	0.0056774268
-0.1515485383	0.9257204132	1.0701520731	0.0057090772
-0.1551070276	0.9241423158	1.0711018526	0.0057559098
-0.1585847632	0.9225018274	1.0722424814	0.0058179565
-0.1619838630	0.9208074068	1.0735436140	0.0058949708
-0.1624655000	0.9194845000	1.0691435000	0.0059023071
