X	Y	Z	FIELD_VALUE
0.0805155000	0.8375345000	0.9308565000	0.0055032603
0.0808559766	0.8385081684	0.9326302844	0.0055092331
0.0792255109	0.8414218569	0.9303386886	0.0054369051
0.0777587049	0.8445712928	0.9282772101	0.0053828980
0.0764903258	0.8479886803	0.9265659833	0.0053461425
0.0753390224	0.8515444323	0.9250867281	0.0053253156
0.0745364907	0.8551202943	0.9243415073	0.0053191280
0.0760404529	0.8510208599	0.9237070478	0.0053279136
0.0776070393	0.8474841610	0.9226538247	0.0053510466
0.0792779904	0.8440811547	0.9213310020	0.0053884397
0.0809876822	0.8407338365	0.9199111964	0.0054396274
0.0827451300	0.8374570540	0.9183803725	0.0055038010
0.0845421075	0.8342383210	0.9167678279	0.0055799707
0.0863737304	0.8310696666	0.9150911829	0.0056669730
0.0882367944	0.8279458837	0.9133615585	0.0057634622
0.0901292043	0.8248638680	0.9115857793	0.0058679578
0.0920726319	0.8218561184	0.9097332129	0.0059787771
0.0940160594	0.8188483689	0.9078806466	0.0060941592
0.0959851897	0.8158798101	0.9059893146	0.0062122571
0.0979794607	0.8129512158	0.9040593258	0.0063311520
0.0999986411	0.8100643210	0.9020896474	0.0064489468
0.1020428457	0.8072219282	0.9000781597	0.0065638194
0.1041125288	0.8044280414	0.8980216716	0.0066740894
0.1062084848	0.8016881118	0.8959158372	0.0067782154
0.1083318472	0.7990094046	0.8937550018	0.0068749316
0.1104842405	0.7964016712	0.8915319748	0.0069631733
0.1126678948	0.7938786051	0.8892371139	0.0070422378
0.1149196294	0.7915799820	0.8867645347	0.0071117486
0.1171713639	0.7892813589	0.8842919554	0.0071716608
0.1194591360	0.7871265850	0.8817167555	0.0072220937
0.1217787648	0.7851398766	0.8790282418	0.0072634582
0.1241290377	0.7833250820	0.8762385496	0.0072963338
0.1265151590	0.7818505389	0.8732698198	0.0073213848
0.1289160397	0.7806942454	0.8701640468	0.0073391722
0.1313177305	0.7797278369	0.8669892558	0.0073499063
0.1336844021	0.7793966116	0.8636492448	0.0073535511
0.1360510738	0.7790653863	0.8603092338	0.0073497078
0.1383359198	0.7793045350	0.8568995394	0.0073376429
0.1405777140	0.7797527331	0.8534817033	0.0073165297
0.1428195083	0.7802009311	0.8500638673	0.0072855912
0.1450004403	0.7809226417	0.8466541120	0.0072442488
0.1471316478	0.7817899015	0.8432470416	0.0071920757
0.1492268192	0.7827830567	0.8398530504	0.0071289881
0.1512837345	0.7838800200	0.8364683712	0.0070551695
0.1533048670	0.7850660291	0.8330929067	0.0069711833
0.1552913608	0.7863290674	0.8297254671	0.0068778727
0.1572438505	0.7876591847	0.8263644839	0.0067763389
0.1591624932	0.7890479460	0.8230080948	0.0066679521
0.1610470210	0.7904879647	0.8196541738	0.0065542750
0.1628967635	0.7919725194	0.8163003098	0.0064369651
0.1647106593	0.7934952197	0.8129437567	0.0063178194
0.1665245550	0.7950179199	0.8095872037	0.0061986296
0.1682680975	0.7966000740	0.8062200428	0.0060811854
0.1699703455	0.7982021527	0.8028401915	0.0059671769
0.1716298350	0.7998147248	0.7994427137	0.0058582238
0.1732441292	0.8014271182	0.7960215805	0.0057558400
0.1748105074	0.8030255787	0.7925693015	0.0056613756
0.1763260144	0.8045917194	0.7890765168	0.0055759907
0.1777873313	0.8061003633	0.7855315632	0.0055007482
0.1791906207	0.8075160972	0.7819201579	0.0054364549
0.1805775579	0.8088971678	0.7782873807	0.0053836861
0.1818334396	0.8099474710	0.7744865267	0.0053428126
0.1830387899	0.8108055199	0.7706161321	0.0053138235
0.1841588985	0.8113340832	0.7666549039	0.0052965622
0.1851992097	0.8113969575	0.7624527795	0.0052905675
0.1857395565	0.8116195742	0.7566948562	0.0053013804
0.1852562411	0.8123403707	0.7526280029	0.0053233761
0.1844658873	0.8132465225	0.7486546967	0.0053583967
0.1812110000	0.8187890000	0.7500000000	0.0054035259
