X	Y	Z	FIELD_VALUE
0.0805155000	0.8375345000	0.9308565000	0.0059533275
0.0789351497	0.8379083744	0.9263587415	0.0059434396
0.0771922101	0.8412920106	0.9276337855	0.0058701105
0.0754910097	0.8447519308	0.9287360282	0.0058119858
0.0738363449	0.8482864833	0.9296402757	0.0057693190
0.0722784848	0.8519327167	0.9301736739	0.0057420322
0.0704765189	0.8569955890	0.9301281264	0.0057289054
0.0666413890	0.8583301329	0.9305933085	0.0057395446
0.0627234468	0.8588192751	0.9312477588	0.0057696528
0.0588023674	0.8591247496	0.9319961459	0.0058171944
0.0548956357	0.8593080449	0.9328603742	0.0058802902
0.0510133847	0.8594123032	0.9338496325	0.0059574839
0.0471638564	0.8594596342	0.9349733512	0.0060477067
0.0433923564	0.8594438690	0.9363556137	0.0061502265
0.0396208565	0.8594281038	0.9377378762	0.0062645424
0.0358973862	0.8593891190	0.9392545094	0.0063901427
0.0322251344	0.8593356387	0.9409007355	0.0065267182
0.0286056973	0.8592755203	0.9426691912	0.0066739871
0.0250391551	0.8592160874	0.9445507547	0.0068315704
0.0215243308	0.8591642861	0.9465354207	0.0069989962
0.0180591216	0.8591268381	0.9486130052	0.0071757946
0.0146408847	0.8591103411	0.9507737211	0.0073612662
0.0112668125	0.8591214351	0.9530085830	0.0075546316
0.0079346422	0.8591675084	0.9553102304	0.0077549773
0.0046721316	0.8593007349	0.9577142815	0.0079612811
0.0014096211	0.8594339615	0.9601183326	0.0081724583
-0.0018171708	0.8596198840	0.9625704544	0.0083871970
-0.0050093952	0.8598650866	0.9650656700	0.0086042089
-0.0081676181	0.8601761161	0.9675996026	0.0088220912
-0.0112917677	0.8605594497	0.9701684053	0.0090395029
-0.0143811366	0.8610214782	0.9727686329	0.0092549926
-0.0174344106	0.8615683820	0.9753971228	0.0094671681
-0.0204497046	0.8622060583	0.9780508898	0.0096746698
-0.0234245918	0.8629401279	0.9807270308	0.0098761601
-0.0263555114	0.8637773888	0.9834228840	0.0100703892
-0.0291968277	0.8648171720	0.9861462034	0.0102562333
-0.0320381440	0.8658569552	0.9888695228	0.0104326505
-0.0348280683	0.8670056489	0.9916030016	0.0105985289
-0.0375641743	0.8682639082	0.9943431628	0.0107529177
-0.0402446581	0.8696309137	0.9970864519	0.0108950043
-0.0428685589	0.8711043876	0.9998292891	0.0110240208
-0.0454358221	0.8726808104	1.0025681705	0.0111392739
-0.0479468486	0.8743563921	1.0052997313	0.0112401263
-0.0504060016	0.8761215174	1.0080212810	0.0113260645
-0.0528169915	0.8779688486	1.0107303522	0.0113966454
-0.0551852602	0.8798912814	1.0134235560	0.0114515275
-0.0575133712	0.8818810440	1.0161016351	0.0114905890
-0.0598240350	0.8839005630	1.0187719240	0.0115138622
-0.0620867254	0.8860178712	1.0214042994	0.0115215233
-0.0643494159	0.8881351793	1.0240366748	0.0115140635
-0.0665847322	0.8903250482	1.0266296895	0.0114922422
-0.0688165493	0.8925272016	1.0292146675	0.0114571814
-0.0710383449	0.8947562877	1.0317839045	0.0114104594
-0.0732421606	0.8970178417	1.0343391071	0.0113542516
-0.0754037058	0.8993254773	1.0368887725	0.0112915347
-0.0774915575	0.9016946138	1.0394438682	0.0112262279
-0.0793830083	0.9042009592	1.0420227758	0.0111632674
-0.0808835203	0.9069333467	1.0446313825	0.0111076277
-0.0817567249	0.9099601853	1.0471965932	0.0110620043
-0.0820394110	0.9132297624	1.0495760541	0.0110253348
-0.0820611458	0.9166404611	1.0517496172	0.0109951907
-0.0820022627	0.9201834611	1.0536788929	0.0109697135
-0.0819977992	0.9237935868	1.0554689876	0.0109477478
-0.0820875502	0.9274588790	1.0571302742	0.0109286301
-0.0822978224	0.9311652191	1.0586768905	0.0109121724
-0.0826505461	0.9349002296	1.0601167714	0.0108986944
-0.0831895191	0.9386539935	1.0614360161	0.0108888559
-0.0843062989	0.9440572225	1.0630974009	0.0108830329
-0.0843733225	0.9434044901	1.0652636183	0.0108854136
-0.0845319622	0.9421962286	1.0692315516	0.0109002932
-0.0847619536	0.9408223086	1.0731366602	0.0109258023
-0.0850413199	0.9393458528	1.0769973841	0.0109589604
