X	Y	Z	FIELD_VALUE
0.0805155000	0.8375345000	0.9308565000	0.0059545465
0.0789237565	0.8379435858	0.9263590172	0.0059438941
0.0771840407	0.8413297802	0.9276314644	0.0058708999
0.0754870353	0.8447929028	0.9287298016	0.0058131099
0.0738372076	0.8483304335	0.9296309944	0.0057707729
0.0722859876	0.8519799728	0.9301608451	0.0057438061
0.0705243620	0.8569729561	0.9301069970	0.0057310775
0.0724352456	0.8516387031	0.9301018944	0.0057457055
0.0739830852	0.8479858942	0.9295859580	0.0057740892
0.0756537950	0.8444775914	0.9286059176	0.0058178781
0.0773528635	0.8410154545	0.9275076698	0.0058771230
0.0790946482	0.8376297117	0.9262369919	0.0059515236
0.0808706225	0.8343068805	0.9248433192	0.0060404918
0.0826761076	0.8310360234	0.9233601824	0.0061432193
0.0845081602	0.8278084819	0.9218108546	0.0062586196
0.0863654028	0.8246181215	0.9202112845	0.0063854322
0.0882624086	0.8214773820	0.9185566962	0.0065222524
0.0901594144	0.8183366424	0.9169021080	0.0066674210
0.0920764965	0.8152184792	0.9152264132	0.0068192024
0.0940126164	0.8121190969	0.9135367096	0.0069757385
0.0959669901	0.8090350400	0.9118393926	0.0071351484
0.0979390830	0.8059629674	0.9101407313	0.0072954728
0.0999286876	0.8028994362	0.9084475029	0.0074548655
0.1019360516	0.7998406521	0.9067677708	0.0076115466
0.1039620862	0.7967821346	0.9051120245	0.0077639223
0.1060088822	0.7937181789	0.9034953865	0.0079105978
0.1080820822	0.7906398222	0.9019464082	0.0080505053
0.1102305380	0.7875042977	0.9006546717	0.0081829416
0.1123789938	0.7843687733	0.8993629352	0.0083078954
0.1145771750	0.7811974077	0.8982727924	0.0084255424
0.1168360038	0.7779905601	0.8974671083	0.0085369763
0.1191621178	0.7747643588	0.8970441123	0.0086440368
0.1215500902	0.7715582439	0.8970948021	0.0087493485
0.1239781365	0.7684294010	0.8976645061	0.0088556815
0.1264155726	0.7654291096	0.8987277795	0.0089651527
0.1288367230	0.7625811710	0.9002056203	0.0090785948
0.1312275698	0.7598820584	0.9020052952	0.0091955149
0.1335836692	0.7573135560	0.9040461420	0.0093144427
0.1359060240	0.7548530422	0.9062656516	0.0094333205
0.1381869661	0.7525083104	0.9086609374	0.0095498746
0.1404679083	0.7501635786	0.9110562232	0.0096617122
0.1427266270	0.7478746143	0.9135316135	0.0097666330
0.1449859611	0.7455831562	0.9160038866	0.0098627680
0.1472524909	0.7432720995	0.9184490487	0.0099487738
0.1495567488	0.7408179885	0.9206965616	0.0100243780
0.1518690213	0.7381133816	0.9225960041	0.0100911196
0.1540444255	0.7350126620	0.9239293274	0.0101539689
0.1557839974	0.7314684847	0.9245856233	0.0102225876
0.1569014555	0.7276324212	0.9247324617	0.0103083403
0.1571873630	0.7236485569	0.9245488874	0.0104190157
0.1570563650	0.7196593864	0.9243082858	0.0105558443
0.1567359048	0.7156807273	0.9240717358	0.0107158323
0.1562603437	0.7117157526	0.9238719174	0.0108942561
0.1556948706	0.7077602082	0.9237326534	0.0110857808
0.1550729914	0.7038108769	0.9237332340	0.0112848260
0.1544511122	0.6998615457	0.9237338146	0.0114857742
0.1538206984	0.6959143776	0.9238171432	0.0116830861
0.1531969058	0.6919687886	0.9239888832	0.0118715949
0.1525905012	0.6880252185	0.9242534954	0.0120466366
0.1520092942	0.6840848478	0.9246139198	0.0122043394
0.1514487467	0.6801478683	0.9250434885	0.0123416289
0.1509364693	0.6762218827	0.9256219644	0.0124566057
0.1504568855	0.6723073538	0.9263056249	0.0125485296
0.1500066963	0.6684047696	0.9270792295	0.0126178546
0.1495873997	0.6645201487	0.9279621418	0.0126662881
0.1491923656	0.6606617781	0.9289729371	0.0126967386
0.1488073702	0.6568296560	0.9300907100	0.0127131062
0.1484220040	0.6530282143	0.9313168531	0.0127201406
0.1480013226	0.6492716446	0.9326736121	0.0127232232
0.1474659866	0.6455588153	0.9341146356	0.0127281441
0.1462087305	0.6418537219	0.9349711268	0.0127418057
0.1439459372	0.6387696408	0.9337593814	0.0127748513
0.1416069014	0.6361908786	0.9317112830	0.0128223888
0.1392706901	0.6338299027	0.9293923872	0.0128707064
0.1369348071	0.6315401616	0.9269968294	0.0129101668
0.1345944216	0.6293329267	0.9245232212	0.0129354502
0.1322207505	0.6273312478	0.9218987515	0.0129440931
0.1298470793	0.6253295690	0.9192742818	0.0129354297
0.1274407547	0.6235529587	0.9165099050	0.0129098527
0.1250286160	0.6218420809	0.9137062838	0.0128682838
0.1226072301	0.6202693461	0.9108245597	0.0128120687
0.1201781092	0.6188343901	0.9078726808	0.0127426153
0.1177461540	0.6175362420	0.9048552878	0.0126615283
0.1153144011	0.6163672497	0.9017809181	0.0125705340
0.1128838223	0.6153085010	0.8986624823	0.0124717183
0.1104521611	0.6143249407	0.8955183326	0.0123676159
0.1080129331	0.6133588650	0.8923746610	0.0122613861
0.1055558494	0.6123234792	0.8892702941	0.0121567217
0.1030720554	0.6111083183	0.8862612357	0.0120572751
0.1005646201	0.6096220077	0.8834097688	0.0119655740
0.0980488169	0.6078596228	0.8807430695	0.0118821205
0.0955337082	0.6059085532	0.8782223132	0.0118060690
0.0930147620	0.6038993490	0.8757558934	0.0117363717
0.0904869766	0.6018748310	0.8733130044	0.0116723047
0.0879280038	0.5999564652	0.8708130168	0.0116132403
0.0853505639	0.5981294284	0.8682599039	0.0115585006
0.0827385663	0.5964991187	0.8656024183	0.0115073336
0.0801106920	0.5949701734	0.8628969354	0.0114589243
0.0774564172	0.5936439934	0.8601046491	0.0114124704
0.0747927419	0.5924177313	0.8572727732	0.0113672526
0.0721212198	0.5913879619	0.8543649499	0.0113227420
0.0694536395	0.5904532641	0.8514185790	0.0112784959
0.0668106510	0.5897034682	0.8483918413	0.0112343464
