X	Y	Z	FIELD_VALUE
0.0805155000	0.8375345000	0.9308565000	0.0059553572
0.0789354848	0.8379451170	0.9263807067	0.0059448351
0.0771954247	0.8413305133	0.9276549480	0.0058717997
0.0754981900	0.8447929975	0.9287550842	0.0058139736
0.0738485939	0.8483306921	0.9296560394	0.0057716044
0.0722978895	0.8519807076	0.9301839625	0.0057446049
0.0705345748	0.8569842634	0.9301242948	0.0057318289
0.0713543789	0.8544300628	0.9307533703	0.0057351965
0.0728049997	0.8509035147	0.9320052039	0.0057524789
0.0744557164	0.8476136591	0.9336316136	0.0057852229
0.0762582778	0.8445851847	0.9355986344	0.0058344539
0.0781621571	0.8417717785	0.9377953869	0.0059009908
0.0801055995	0.8390498856	0.9400780398	0.0059852520
0.0821000753	0.8364424068	0.9424559410	0.0060871678
0.0841361915	0.8339160450	0.9448899455	0.0062064347
0.0862086117	0.8314445175	0.9473516537	0.0063423848
0.0883152130	0.8290071538	0.9498188396	0.0064940800
0.0904790703	0.8265852539	0.9522484671	0.0066603942
0.0926429276	0.8241633541	0.9546780945	0.0068398876
0.0948366206	0.8217383828	0.9570751227	0.0070310712
0.0970596784	0.8193009980	0.9594287073	0.0072321904
0.0993117399	0.8168435350	0.9617290749	0.0074414095
0.1015924187	0.8143597493	0.9639672866	0.0076567878
0.1039011637	0.8118446524	0.9661351774	0.0078762687
0.1062371975	0.8092944528	0.9682253997	0.0080978123
0.1085994779	0.8067065030	0.9702315133	0.0083192904
0.1109866827	0.8040791682	0.9721479925	0.0085385979
0.1133977541	0.8014107535	0.9739679642	0.0087535969
0.1158452673	0.7986723606	0.9756139191	0.0089622781
0.1182927805	0.7959339678	0.9772598740	0.0091626375
0.1207567882	0.7931611728	0.9788140007	0.0093526610
0.1232348107	0.7903573279	0.9802809935	0.0095304855
0.1257244171	0.7875268621	0.9816690510	0.0096944022
0.1282233850	0.7846756852	0.9829912491	0.0098429357
0.1307299309	0.7818124331	0.9842687808	0.0099748331
0.1332430439	0.7789525444	0.9855404697	0.0100891725
0.1357605360	0.7761111130	0.9868471997	0.0101856466
0.1382809458	0.7733021592	0.9882222839	0.0102646943
0.1407994643	0.7706116362	0.9898373591	0.0103279435
0.1432952771	0.7681270981	0.9918095829	0.0103789009
0.1457257580	0.7659839122	0.9942497786	0.0104232182
0.1480650782	0.7642657852	0.9971149169	0.0104675469
0.1503767999	0.7629185182	1.0002105438	0.0105173239
0.1527836192	0.7618318310	1.0033385400	0.0105759235
0.1553692387	0.7609201812	1.0063708423	0.0106452840
0.1582527198	0.7601702397	1.0091489078	0.0107263894
0.1613526159	0.7594951542	1.0116841290	0.0108192407
0.1646238757	0.7588508863	1.0139832414	0.0109228364
0.1680221206	0.7582012011	1.0160709720	0.0110351794
0.1715093898	0.7575196884	1.0179806764	0.0111537626
0.1750547035	0.7567906877	1.0197501288	0.0112757637
0.1786333100	0.7560106079	1.0214203704	0.0113981904
0.1822313878	0.7550828024	1.0229578971	0.0115183324
0.1858088939	0.7540319381	1.0244611845	0.0116337253
0.1893454916	0.7528604086	1.0259727061	0.0117425374
0.1927963941	0.7515234917	1.0275489133	0.0118436006
0.1961045031	0.7499917357	1.0292593344	0.0119367429
0.1991197238	0.7481718303	1.0312311174	0.0120228073
0.2019651938	0.7462166003	1.0333319494	0.0121032084
0.2045009215	0.7440486002	1.0356277730	0.0121793056
0.2067186319	0.7416859333	1.0380679795	0.0122521358
0.2086451974	0.7391476909	1.0405840175	0.0123219542
0.2103104531	0.7364350013	1.0431049211	0.0123884039
0.2118012126	0.7335937523	1.0455904042	0.0124505573
0.2131341844	0.7306168597	1.0479996491	0.0125073513
0.2143370491	0.7275122253	1.0503059729	0.0125573681
0.2154296160	0.7242884903	1.0524912868	0.0125991160
0.2164260744	0.7209563926	1.0545460809	0.0126309358
0.2173777391	0.7175737709	1.0565331743	0.0126511871
0.2181700971	0.7140118043	1.0582354571	0.0126581645
0.2189624550	0.7104498376	1.0599377400	0.0126508180
0.2196125222	0.7067510768	1.0613667572	0.0126282502
0.2202277061	0.7030214106	1.0627234870	0.0125905562
0.2207903252	0.6992506021	1.0639776196	0.0125385633
0.2212784133	0.6954279175	1.0650867290	0.0124740896
0.2217039663	0.6915676726	1.0660760732	0.0123999024
0.2220923585	0.6876878760	1.0669965706	0.0123197630
0.2224090486	0.6837755111	1.0677881738	0.0122381677
0.2226929934	0.6798508041	1.0685250298	0.0121604068
0.2229167414	0.6759087024	1.0691789010	0.0120922368
0.2231366109	0.6719669295	1.0698363433	0.0120398190
