X	Y	Z	FIELD_VALUE
0.0805155000	0.8375345000	0.9308565000	0.0059547349
0.0789494830	0.8379178798	0.9263696804	0.0059448933
0.0772093076	0.8413028587	0.9276449543	0.0058717159
0.0755116018	0.8447645412	0.9287470395	0.0058137473
0.0738611673	0.8483011214	0.9296510726	0.0057712390
0.0723090500	0.8519499522	0.9301833627	0.0057441085
0.0705319460	0.8569812189	0.9301309313	0.0057311764
0.0662204347	0.8584516600	0.9306536276	0.0057445671
0.0623001002	0.8588661018	0.9313473418	0.0057770217
0.0583814356	0.8591623832	0.9321132717	0.0058267526
0.0544785543	0.8593426839	0.9329968592	0.0058919097
0.0506014228	0.8594473064	0.9340076442	0.0059710874
0.0467593189	0.8594968679	0.9351585223	0.0060632629
0.0429953598	0.8594883099	0.9365629956	0.0061677433
0.0392314006	0.8594797520	0.9379674689	0.0062840369
0.0355161408	0.8594498399	0.9395060324	0.0064116807
0.0318525982	0.8594072257	0.9411735371	0.0065503456
0.0282422021	0.8593597277	0.9429623609	0.0066997724
0.0246848965	0.8593146538	0.9448632459	0.0068595505
0.0211794177	0.8592789621	0.9468661624	0.0070292321
0.0177236348	0.8592594039	0.9489609914	0.0072083305
0.0143149475	0.8592626615	0.9511380934	0.0073961390
0.0109507404	0.8592956399	0.9533888143	0.0075918723
0.0076298020	0.8593673435	0.9557073159	0.0077946128
0.0043781540	0.8595282078	0.9581254712	0.0080033357
0.0011265061	0.8596890720	0.9605436266	0.0082169530
-0.0020886986	0.8599047074	0.9630095955	0.0084341500
-0.0052684324	0.8601817278	0.9655184765	0.0086536275
-0.0084130776	0.8605266837	0.9680659416	0.0088740123
-0.0115223812	0.8609460239	0.9706481606	0.0090939339
-0.0145954653	0.8614460663	0.9732616726	0.0093119492
-0.0176308619	0.8620328760	0.9759032690	0.0095266635
-0.0206265400	0.8627122314	0.9785698981	0.0097367112
-0.0235798248	0.8634899105	0.9812586162	0.0099407455
-0.0264858072	0.8643754101	0.9839670184	0.0101375044
-0.0293010058	0.8654596366	0.9867009510	0.0103258438
-0.0321162045	0.8665438631	0.9894348836	0.0105046883
-0.0348786081	0.8677366858	0.9921781722	0.0106728915
-0.0375860228	0.8690382718	0.9949272892	0.0108294654
-0.0402369198	0.8704473337	0.9976786786	0.0109735576
-0.0428306398	0.8719611434	1.0004288257	0.0111043635
-0.0453675273	0.8735756046	1.0031743731	0.0112211574
-0.0478488960	0.8752855908	1.0059122048	0.0113232797
-0.0502764642	0.8770860014	1.0086394414	0.0114102085
-0.0526556482	0.8789667304	1.0113540880	0.0114815062
-0.0549916470	0.8809207344	1.0140532169	0.0115368545
-0.0572870078	0.8829407669	1.0167373801	0.0115761713
-0.0595645922	0.8849900115	1.0194139304	0.0115995443
-0.0617910536	0.8871359058	1.0220547015	0.0116072210
-0.0640175151	0.8892818000	1.0246954726	0.0115997748
-0.0662112097	0.8915009075	1.0273000682	0.0115780553
-0.0683962132	0.8937387742	1.0298951504	0.0115432764
-0.0705674325	0.8960037884	1.0324771870	0.0114970960
-0.0727111820	0.8983043678	1.0350499874	0.0114417391
-0.0747984976	0.9006584855	1.0376205858	0.0113801596
-0.0768429234	0.9030469948	1.0401941613	0.0113161232
-0.0786108486	0.9056266932	1.0427896377	0.0112541811
-0.0801238354	0.9083554428	1.0453945523	0.0111987019
-0.0809296078	0.9114301402	1.0479216358	0.0111520536
-0.0813924980	0.9146604836	1.0503284719	0.0111133937
-0.0814614786	0.9181071127	1.0524384882	0.0110808046
-0.0814994029	0.9216260535	1.0544155590	0.0110526555
-0.0815763038	0.9252431508	1.0561885014	0.0110279964
-0.0817366744	0.9289075073	1.0578462529	0.0110063655
-0.0820067211	0.9326108463	1.0593905948	0.0109877685
-0.0824158821	0.9363420684	1.0608249169	0.0109726961
-0.0830184772	0.9400903722	1.0621310633	0.0109619543
-0.0841509544	0.9451454815	1.0636680938	0.0109561662
-0.0843342138	0.9435692568	1.0682779122	0.0109660662
-0.0845616523	0.9421769521	1.0721761062	0.0109872552
-0.0848285464	0.9406907329	1.0760337190	0.0110169242
-0.0851925717	0.9390068158	1.0797932480	0.0110526765
-0.0856110297	0.9372268302	1.0834981699	0.0110926740
-0.0861486308	0.9352737425	1.0870899708	0.0111355913
-0.0867477866	0.9332450571	1.0906252468	0.0111804060
-0.0874565537	0.9311061240	1.0940666932	0.0112264304
-0.0883155023	0.9288619331	1.0973963916	0.0112732571
-0.0892527614	0.9265755147	1.1006715087	0.0113207920
-0.0903552577	0.9242283244	1.1038424091	0.0113691174
-0.0915427859	0.9218588459	1.1069615430	0.0114185859
-0.0929056462	0.9194605311	1.1099771888	0.0114697318
-0.0943569804	0.9170531506	1.1129396938	0.0115231490
-0.0959808696	0.9146367470	1.1157950288	0.0115796261
-0.0976849433	0.9122190552	1.1185979558	0.0116399240
-0.0994925005	0.9098017658	1.1213299692	0.0117047791
-0.1013174129	0.9073836234	1.1240486011	0.0117749557
-0.1030456166	0.9049597792	1.1268296292	0.0118512788
-0.1045151682	0.9025342961	1.1297662345	0.0119349188
-0.1057818608	0.9001168589	1.1328106921	0.0120267775
-0.1067075559	0.8977307824	1.1360113374	0.0121265684
-0.1074902487	0.8953655041	1.1392696699	0.0122322386
-0.1082556386	0.8930031153	1.1425347354	0.0123405937
-0.1090249063	0.8906418178	1.1457996686	0.0124484080
-0.1098634788	0.8882723621	1.1490395565	0.0125529910
-0.1108139837	0.8858901496	1.1522354274	0.0126521988
-0.1119024194	0.8834944955	1.1553720590	0.0127443922
-0.1131440862	0.8810874334	1.1584365725	0.0128282841
-0.1145367880	0.8786733795	1.1614236405	0.0129025814
-0.1160763176	0.8762572291	1.1643295066	0.0129660976
-0.1177547213	0.8738448648	1.1671541535	0.0130175503
-0.1195634796	0.8714379615	1.1698952463	0.0130556725
-0.1214311747	0.8690351306	1.1725970172	0.0130791881
-0.1234987245	0.8666542439	1.1751581723	0.0130871446
-0.1255662743	0.8642733572	1.1777193274	0.0130791867
-0.1278007274	0.8619077484	1.1801397733	0.0130560708
-0.1300723348	0.8595367241	1.1825165148	0.0130204508
-0.1324550720	0.8571325317	1.1847335481	0.0129782018
-0.1349462893	0.8546746771	1.1867479371	0.0129400565
-0.1384423334	0.8519630655	1.1875048126	0.0129217715
-0.1389521354	0.8487978294	1.1879412325	0.0129396873
-0.1385989571	0.8448312963	1.1883108841	0.0130123212
-0.1381772695	0.8408665172	1.1886176443	0.0131328238
-0.1377702757	0.8368993023	1.1889114893	0.0132903769
-0.1374306894	0.8329287358	1.1892463073	0.0134737711
-0.1371792658	0.8289568568	1.1896429994	0.0136718364
