X	Y	Z	FIELD_VALUE
0.0805155000	0.8375345000	0.9308565000	0.0059553846
0.0788454378	0.8381065853	0.9264232527	0.0059409814
0.0771068966	0.8414931547	0.9276963594	0.0058686259
0.0754111652	0.8449571195	0.9287939490	0.0058115014
0.0737640697	0.8484977245	0.9296874260	0.0057698412
0.0722176625	0.8521514180	0.9302012206	0.0057435369
0.0705258837	0.8569914126	0.9301131815	0.0057316187
0.0710863021	0.8551673504	0.9302819323	0.0057332499
0.0725247054	0.8514418185	0.9300859795	0.0057474878
0.0740759290	0.8477919493	0.9295586142	0.0057767608
0.0757489855	0.8442875092	0.9285679714	0.0058214455
0.0774510635	0.8408307904	0.9274563325	0.0058815810
0.0791950480	0.8374493740	0.9261764543	0.0059568506
0.0809728170	0.8341299974	0.9247763418	0.0060466522
0.0827798533	0.8308619038	0.9232886479	0.0061501647
0.0846132149	0.8276364990	0.9217361729	0.0062662899
0.0864709476	0.8244470915	0.9201351581	0.0063937563
0.0883692187	0.8213078025	0.9184791570	0.0065311495
0.0902674898	0.8181685135	0.9168231560	0.0066768030
0.0921857941	0.8150515408	0.9151465750	0.0068289745
0.0941231118	0.8119531187	0.9134564500	0.0069858012
0.0960786796	0.8088698089	0.9117591524	0.0071453896
0.0980519844	0.8057982721	0.9100609675	0.0073058012
0.1000428615	0.8027350571	0.9083687425	0.0074651838
0.1020516200	0.7996763345	0.9066906998	0.0076217649
0.1040793153	0.7966175250	0.9050377491	0.0077739609
0.1061287183	0.7935524269	0.9034270603	0.0079203917
0.1082025108	0.7904740685	0.9018789472	0.0080600061
0.1103064593	0.7873737519	0.9004254967	0.0081921161
0.1124493193	0.7842418365	0.8991143054	0.0083164909
0.1146429918	0.7810705070	0.8980142319	0.0084334704
0.1169003842	0.7778604921	0.8972179268	0.0085441750
0.1192287914	0.7746316725	0.8968319456	0.0086505213
0.1216203932	0.7714297277	0.8969448626	0.0087552507
0.1240498025	0.7683145510	0.8975852030	0.0088612137
0.1264853732	0.7653330943	0.8987089309	0.0089705120
0.1289029718	0.7625030434	0.9002297755	0.0090838972
0.1312899215	0.7598187228	0.9020588524	0.0092007954
0.1336181838	0.7573385865	0.9042477134	0.0093197256
0.1359464461	0.7548584501	0.9064365744	0.0094386533
0.1382461686	0.7524619339	0.9087554881	0.0095550870
0.1405235937	0.7501259241	0.9111636276	0.0096666794
0.1427863779	0.7478275565	0.9136254875	0.0097712969
0.1450430759	0.7455445344	0.9161088255	0.0098670645
0.1473118845	0.7432331549	0.9185513599	0.0099526619
0.1496254052	0.7407437222	0.9207457278	0.0100278758
0.1519532786	0.7381020746	0.9227192490	0.0100942382
0.1540620996	0.7349069914	0.9239202407	0.0101569433
