X	Y	Z	FIELD_VALUE
0.0000000000	0.0000000000	0.0000000000	0.0061562188
0.0046608363	0.0024907424	0.0026976579	0.0061869373
0.0077183155	0.0041253312	0.0047723701	0.0062378326
0.0107356466	0.0057392773	0.0069269225	0.0063076649
0.0137335211	0.0073435331	0.0091185089	0.0063924404
0.0167194391	0.0089421251	0.0113322028	0.0064886287
0.0196947260	0.0105364128	0.0135647312	0.0065931217
0.0226700130	0.0121307004	0.0157972596	0.0067031811
0.0256420693	0.0137240005	0.0180352199	0.0068163963
0.0286126832	0.0153173331	0.0202752336	0.0069306943
0.0315833279	0.0169115942	0.0225144854	0.0070443626
0.0345553132	0.0185077179	0.0247503622	0.0071559971
0.0375298682	0.0201067531	0.0269802612	0.0072644949
0.0405082051	0.0217100338	0.0292013507	0.0073690882
0.0434915007	0.0233193740	0.0314104224	0.0074692920
0.0464808213	0.0249373841	0.0336037159	0.0075648408
0.0494768891	0.0265681320	0.0357766737	0.0076556954
0.0524796664	0.0282489509	0.0378975178	0.0077419875
0.0554824437	0.0299297698	0.0400183620	0.0078239645
0.0584843011	0.0316467845	0.0421089179	0.0079019230
0.0614772338	0.0334117442	0.0441698006	0.0079761907
0.0644554683	0.0352216675	0.0462113671	0.0080471753
0.0673431621	0.0371607690	0.0482653458	0.0081154520
0.0700900945	0.0392059978	0.0504149812	0.0081818696
0.0726027005	0.0413476027	0.0527646801	0.0082481174
0.0747842911	0.0435432803	0.0554016766	0.0083170286
0.0765999596	0.0457345134	0.0583279829	0.0083924027
0.0779398140	0.0478566179	0.0615710512	0.0084779903
0.0791016626	0.0499428346	0.0649124685	0.0085757374
0.0799997665	0.0519815908	0.0683718960	0.0086858183
0.0807527735	0.0540391139	0.0718567651	0.0088073604
0.0815057804	0.0560966369	0.0753416341	0.0089386607
0.0822320000	0.0581818122	0.0788148092	0.0090777455
0.0829668044	0.0603050780	0.0822608579	0.0092225797
0.0837360609	0.0624710895	0.0856696527	0.0093712060
0.0845594621	0.0646803804	0.0890342644	0.0095218116
0.0854525668	0.0669306604	0.0923497113	0.0096728248
0.0864280874	0.0692178380	0.0956120952	0.0098229485
0.0874965345	0.0715367778	0.0988180307	0.0099712179
0.0886666376	0.0738818546	0.1019642246	0.0101169798
0.0899465410	0.0762475893	0.1050465510	0.0102599320
0.0914282068	0.0786367977	0.1080087264	0.0104000820
0.0929098726	0.0810260060	0.1109709019	0.0105376899
0.0944903862	0.0834226250	0.1138704324	0.0106730513
0.0961528313	0.0858239325	0.1167154845	0.0108068419
0.0978663572	0.0882289628	0.1195239770	0.0109397915
0.0995821875	0.0906384724	0.1223267665	0.0110728068
0.1012341080	0.0930536088	0.1251657579	0.0112070105
0.1027507450	0.0954726978	0.1280820231	0.0113437370
0.1040830577	0.0978893344	0.1310966087	0.0114842203
0.1052310772	0.1002963684	0.1342005422	0.0116287608
0.1062429584	0.1026920764	0.1373648399	0.0117764684
0.1072121329	0.1050835708	0.1405470649	0.0119253561
0.1081813073	0.1074750652	0.1437292900	0.0120729542
0.1091821771	0.1098698160	0.1468981740	0.0122168336
0.1102556534	0.1122713860	0.1500354911	0.0123549145
0.1114298399	0.1146808607	0.1531267130	0.0124854756
0.1127222151	0.1170971566	0.1561604141	0.0126070519
0.1141419855	0.1195175483	0.1591280112	0.0127184406
0.1156933080	0.1219383701	0.1620228238	0.0128183628
0.1173686854	0.1243555071	0.1648449900	0.0129056271
0.1191614189	0.1267650774	0.1675949558	0.0129789641
0.1210636174	0.1291630426	0.1702751951	0.0130371705
0.1230682285	0.1315488530	0.1728852420	0.0130791203
0.1251192330	0.1339278820	0.1754626660	0.0131041118
0.1273410381	0.1362852755	0.1779043657	0.0131122290
0.1295628433	0.1386426690	0.1803460653	0.0131048953
0.1319641661	0.1410014927	0.1825940286	0.0130858182
0.1344656847	0.1433845453	0.1846904856	0.0130623334
0.1384293504	0.1464529918	0.1861743331	0.0130455939
0.1345814402	0.1449792675	0.1880343289	0.0130588403
0.1320765250	0.1438768332	0.1910713854	0.0130986887
0.1303356849	0.1426748614	0.1946065526	0.0131707432
0.1289346546	0.1414154899	0.1982812430	0.0132746345
0.1279151396	0.1401116750	0.2020736640	0.0134074435
0.1271294326	0.1388014831	0.2059236889	0.0135649230
0.1265405717	0.1375083638	0.2098178870	0.0137418788
0.1261177322	0.1362480891	0.2137470399	0.0139324974
0.1258403389	0.1350323037	0.2177053805	0.0141303225
0.1256964058	0.1338713777	0.2216892364	0.0143284519
0.1257641905	0.1328278706	0.2257103923	0.0145198006
0.1258319752	0.1317843635	0.2297315481	0.0146971150
0.1259990749	0.1308038597	0.2337667479	0.0148533454
0.1262511603	0.1298826953	0.2378123245	0.0149821846
0.1266353757	0.1290650053	0.2418707451	0.0150783226
0.1270615246	0.1282816664	0.2459319763	0.0151376833
0.1276715955	0.1276715955	0.2500000000	0.0151577604
0.1282816664	0.1270615246	0.2540680237	0.0151376833
0.1290650053	0.1266353757	0.2581292549	0.0150783226
0.1298826953	0.1262511603	0.2621876755	0.0149821846
0.1308038597	0.1259990749	0.2662332521	0.0148533454
0.1317843635	0.1258319752	0.2702684519	0.0146971150
0.1328278706	0.1257641905	0.2742896077	0.0145198006
0.1338713777	0.1256964058	0.2783107636	0.0143284519
0.1350323037	0.1258403389	0.2822946195	0.0141303225
0.1362480891	0.1261177322	0.2862529601	0.0139324974
0.1375083638	0.1265405717	0.2901821130	0.0137418788
0.1388014831	0.1271294326	0.2940763111	0.0135649230
0.1401116750	0.1279151396	0.2979263360	0.0134074435
0.1414154899	0.1289346546	0.3017187570	0.0132746345
0.1426748614	0.1303356849	0.3053934474	0.0131707432
0.1438768332	0.1320765250	0.3089286146	0.0130986887
0.1449792675	0.1345814402	0.3119656711	0.0130588403
0.1464529918	0.1384293504	0.3138256669	0.0130455939
0.1433845453	0.1344656847	0.3153095144	0.0130623334
0.1410014927	0.1319641661	0.3174059714	0.0130858182
0.1386426690	0.1295628433	0.3196539347	0.0131048953
0.1362852755	0.1273410381	0.3220956343	0.0131122290
0.1339278820	0.1251192330	0.3245373340	0.0131041118
0.1315488530	0.1230682285	0.3271147580	0.0130791203
0.1291630426	0.1210636174	0.3297248049	0.0130371705
0.1267650774	0.1191614189	0.3324050442	0.0129789641
0.1243555071	0.1173686854	0.3351550100	0.0129056271
0.1219383701	0.1156933080	0.3379771762	0.0128183628
0.1195175483	0.1141419855	0.3408719888	0.0127184406
0.1170971566	0.1127222151	0.3438395859	0.0126070519
0.1146808607	0.1114298399	0.3468732870	0.0124854756
0.1122713860	0.1102556534	0.3499645089	0.0123549145
0.1098698160	0.1091821771	0.3531018260	0.0122168336
0.1074750652	0.1081813073	0.3562707100	0.0120729542
0.1050835708	0.1072121329	0.3594529351	0.0119253561
0.1026920764	0.1062429584	0.3626351601	0.0117764684
0.1002963684	0.1052310772	0.3657994578	0.0116287608
0.0978893344	0.1040830577	0.3689033913	0.0114842203
0.0954726978	0.1027507450	0.3719179769	0.0113437370
0.0930536088	0.1012341080	0.3748342421	0.0112070105
0.0906384724	0.0995821875	0.3776732335	0.0110728068
0.0882289628	0.0978663572	0.3804760230	0.0109397915
0.0858239325	0.0961528313	0.3832845155	0.0108068419
0.0834226250	0.0944903862	0.3861295676	0.0106730513
0.0810260060	0.0929098726	0.3890290981	0.0105376899
0.0786367977	0.0914282068	0.3919912736	0.0104000820
0.0762475893	0.0899465410	0.3949534490	0.0102599320
0.0738818546	0.0886666376	0.3980357754	0.0101169798
0.0715367778	0.0874965345	0.4011819693	0.0099712179
0.0692178380	0.0864280874	0.4043879048	0.0098229485
0.0669306604	0.0854525668	0.4076502887	0.0096728248
0.0646803804	0.0845594621	0.4109657356	0.0095218116
0.0624710895	0.0837360609	0.4143303473	0.0093712060
0.0603050780	0.0829668044	0.4177391421	0.0092225797
0.0581818122	0.0822320000	0.4211851908	0.0090777455
0.0560966369	0.0815057804	0.4246583659	0.0089386607
